baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Elk Park	[u'Lot: 4 acres', u'Single Family', u'Built in 1971', u'All time views: 5,893', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $24,500', u'Last sale price/sqft: $13', u'Barbecue', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Slate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Amenities: Other-See Remarks', u'Heat: Air Conditioning', u'Water: Private Well', u'Zoning: Residential', u'Garage: 1 Car', u'Appliances: None', u'Style: Ranch', u'Basement: Slab', u'Sewer: Septic Permit-2 Bedroom', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,900 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 182917113163', u'Zillow Home ID: 114796681']	http://photos3.zillowstatic.com/p_e/IS5anu896ejclq1000000000.jpg	24500.0	[]	1900.0	NC	133374.0	28622	114796681
1.0	4	Elk Park	[u'Lot: 6.65 acres', u'Single Family', u'Built in 1924', u'All time views: 731', u'Heating: Forced air', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $109', u'Foundation type: Footing', u'Floor size: 1,645 sqft', u'Parcel #: 193100320978', u'Zillow Home ID: 114797942']	http://photos2.zillowstatic.com/p_e/IStc94pfmh7sts1000000000.jpg	180000.0	[]	1645.0	NC	217591.0	28622	114797942
2.0	4	Elk Park	[u'Lot: 94.32 acres', u'Single Family', u'Built in 1986', u'All time views: 2,519', u'Heating: Baseboard, Radiant', u'Last sold: Dec 2015 for $715,000', u'Last sale price/sqft: $267', u'Attic', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,676 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2111519832']	http://photos2.zillowstatic.com/p_e/ISpxasveyno5sr0000000000.jpg	715000.0	[]	2676.0	NC	306987.0	28622	2111519832
2.0	3	Elk Park	[u'Lot: 12 acres', u'Single Family', u'Built in 1983', u'All time views: 1,648', u'Heating: Forced air', u'Last sold: Mar 2015 for $200,000', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 1,984 sqft', u'Parcel #: 182900609477', u'Zillow Home ID: 114796708']	http://photos1.zillowstatic.com/p_e/IS99pe6wsw9mor0000000000.jpg	200000.0	[]	1984.0	NC	186994.0	28622	114796708
3.5	2	Elk Park	[u'Lot: 4.32 acres', u'Single Family', u'Built in 1978', u'All time views: 661', u'Heating: Heat pump', u'Last sold: Dec 2014 for $200,000', u'Last sale price/sqft: $47', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 4,224 sqft', u'Parcel #: 182900044690', u'Zillow Home ID: 114796701']	http://photos3.zillowstatic.com/p_e/ISxvewya28jbf40000000000.jpg	200000.0	[]	4224.0	NC	455265.0	28622	114796701
2.0	4	Elk Park	[u'Lot: 2 acres', u'Single Family', u'Built in 1950', u'All time views: 731', u'Last sold: Apr 2014 for $178,000', u'Last sale price/sqft: $92', u'Floor size: 1,944 sqft', u'Zillow Home ID: 2142027104']	http://photos2.zillowstatic.com/p_e/IS1r1mnto5pfnl0000000000.jpg	178000.0	[]	1944.0	NC	171193.0	28622	2142027104
1.5	2	Elk Park	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1924', u'All time views: 696', u'Heating: Forced air', u'Last sold: Mar 2014 for $153,000', u'Last sale price/sqft: $133', u'Foundation type: Footing', u'Roof type: Metal', u'Floor size: 1,154 sqft', u'Parcel #: 183900135922', u'Zillow Home ID: 114797095']	http://photos3.zillowstatic.com/p_e/IShvbxfppfnc6g0000000000.jpg	153000.0	[]	1154.0	NC	127440.0	28622	114797095
2.0	2	Elk Park	[u'Lot: 3.85 acres', u'Single Family', u'Built in 1984', u'All time views: 615', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Feb 2014 for $144,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'View: Mountain', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,350 sqft', u'Parcel #: 193000479440', u'Zillow Home ID: 114798032']	http://photos3.zillowstatic.com/p_e/IStoynecz3u6il0000000000.jpg	144000.0	[]	1350.0	NC	150947.0	28622	114798032
2.0	3	Elk Park	[u'Lot: 1.1 acres', u'Single Family', u'Built in 1969', u'All time views: 659', u'Heating: Forced air', u'Last sold: Dec 2013 for $90,000', u'Last sale price/sqft: $74', u'Parking: Carport', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,215 sqft', u'Parcel #: 182900968025', u'Zillow Home ID: 114796717']	http://photos2.zillowstatic.com/p_e/IS-lu5gramly5i5.jpg	90000.0	[]	1215.0	NC	132097.0	28622	114796717
2.0	2	Elk Park	[u'Lot: 4 acres', u'Single Family', u'Built in 1971', u'All time views: 5,894', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $24,500', u'Last sale price/sqft: $13', u'Barbecue', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Slate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Amenities: Other-See Remarks', u'Heat: Air Conditioning', u'Water: Private Well', u'Zoning: Residential', u'Garage: 1 Car', u'Appliances: None', u'Style: Ranch', u'Basement: Slab', u'Sewer: Septic Permit-2 Bedroom', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,900 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 182917113163', u'Zillow Home ID: 114796681']	http://photos3.zillowstatic.com/p_e/IS5anu896ejclq1000000000.jpg	24500.0	[]	1900.0	NC	133374.0	28622	114796681
1.0	4	Elk Park	[u'Lot: 6.65 acres', u'Single Family', u'Built in 1924', u'All time views: 734', u'Heating: Forced air', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $109', u'Foundation type: Footing', u'Floor size: 1,645 sqft', u'Parcel #: 193100320978', u'Zillow Home ID: 114797942']	http://photos2.zillowstatic.com/p_e/IStc94pfmh7sts1000000000.jpg	180000.0	[]	1645.0	NC	217591.0	28622	114797942
2.0	4	Elk Park	[u'Lot: 94.32 acres', u'Single Family', u'Built in 1986', u'All time views: 2,518', u'Heating: Baseboard, Radiant', u'Last sold: Dec 2015 for $715,000', u'Last sale price/sqft: $267', u'Attic', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,676 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2111519832']	http://photos2.zillowstatic.com/p_e/ISpxasveyno5sr0000000000.jpg	715000.0	[]	2676.0	NC	306987.0	28622	2111519832
2.0	3	Elk Park	[u'Lot: 12 acres', u'Single Family', u'Built in 1983', u'All time views: 1,646', u'Heating: Forced air', u'Last sold: Mar 2015 for $200,000', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 1,984 sqft', u'Parcel #: 182900609477', u'Zillow Home ID: 114796708']	http://photos1.zillowstatic.com/p_e/IS99pe6wsw9mor0000000000.jpg	200000.0	[]	1984.0	NC	186994.0	28622	114796708
3.5	2	Elk Park	[u'Lot: 4.32 acres', u'Single Family', u'Built in 1978', u'All time views: 659', u'Heating: Heat pump', u'Last sold: Dec 2014 for $200,000', u'Last sale price/sqft: $47', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 4,224 sqft', u'Parcel #: 182900044690', u'Zillow Home ID: 114796701']	http://photos3.zillowstatic.com/p_e/ISxvewya28jbf40000000000.jpg	200000.0	[]	4224.0	NC	455265.0	28622	114796701
2.0	4	Elk Park	[u'Lot: 2 acres', u'Single Family', u'Built in 1950', u'All time views: 735', u'Last sold: Apr 2014 for $178,000', u'Last sale price/sqft: $92', u'Floor size: 1,944 sqft', u'Zillow Home ID: 2142027104']	http://photos2.zillowstatic.com/p_e/IS1r1mnto5pfnl0000000000.jpg	178000.0	[]	1944.0	NC	171193.0	28622	2142027104
1.5	2	Elk Park	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1924', u'All time views: 698', u'Heating: Forced air', u'Last sold: Mar 2014 for $153,000', u'Last sale price/sqft: $133', u'Foundation type: Footing', u'Roof type: Metal', u'Floor size: 1,154 sqft', u'Parcel #: 183900135922', u'Zillow Home ID: 114797095']	http://photos3.zillowstatic.com/p_e/IShvbxfppfnc6g0000000000.jpg	153000.0	[]	1154.0	NC	127440.0	28622	114797095
2.0	2	Elk Park	[u'Lot: 3.85 acres', u'Single Family', u'Built in 1984', u'All time views: 619', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Feb 2014 for $144,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'View: Mountain', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,350 sqft', u'Parcel #: 193000479440', u'Zillow Home ID: 114798032']	http://photos3.zillowstatic.com/p_e/IStoynecz3u6il0000000000.jpg	144000.0	[]	1350.0	NC	150947.0	28622	114798032
2.0	3	Elk Park	[u'Lot: 1.1 acres', u'Single Family', u'Built in 1969', u'All time views: 660', u'Heating: Forced air', u'Last sold: Dec 2013 for $90,000', u'Last sale price/sqft: $74', u'Parking: Carport', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,215 sqft', u'Parcel #: 182900968025', u'Zillow Home ID: 114796717']	http://photos2.zillowstatic.com/p_e/IS-lu5gramly5i5.jpg	90000.0	[]	1215.0	NC	132097.0	28622	114796717
2.0	2	Elk Park	[u'Lot: 4 acres', u'Single Family', u'Built in 1971', u'All time views: 5,898', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $24,500', u'Last sale price/sqft: $13', u'Barbecue', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Slate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Amenities: Other-See Remarks', u'Heat: Air Conditioning', u'Water: Private Well', u'Zoning: Residential', u'Garage: 1 Car', u'Appliances: None', u'Style: Ranch', u'Basement: Slab', u'Sewer: Septic Permit-2 Bedroom', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,900 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 182917113163', u'Zillow Home ID: 114796681']	http://photos3.zillowstatic.com/p_e/IS5anu896ejclq1000000000.jpg	24500.0	[]	1900.0	NC	133374.0	28622	114796681
1.0	4	Elk Park	[u'Lot: 6.65 acres', u'Single Family', u'Built in 1924', u'All time views: 735', u'Heating: Forced air', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $109', u'Foundation type: Footing', u'Floor size: 1,645 sqft', u'Parcel #: 193100320978', u'Zillow Home ID: 114797942']	http://photos2.zillowstatic.com/p_e/IStc94pfmh7sts1000000000.jpg	180000.0	[]	1645.0	NC	217591.0	28622	114797942
2.0	4	Elk Park	[u'Lot: 94.32 acres', u'Single Family', u'Built in 1986', u'All time views: 2,524', u'Heating: Baseboard, Radiant', u'Last sold: Dec 2015 for $715,000', u'Last sale price/sqft: $267', u'Attic', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,676 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2111519832']	http://photos2.zillowstatic.com/p_e/ISpxasveyno5sr0000000000.jpg	715000.0	[]	2676.0	NC	306987.0	28622	2111519832
2.0	3	Elk Park	[u'Lot: 12 acres', u'Single Family', u'Built in 1983', u'All time views: 1,650', u'Heating: Forced air', u'Last sold: Mar 2015 for $200,000', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 1,984 sqft', u'Parcel #: 182900609477', u'Zillow Home ID: 114796708']	http://photos1.zillowstatic.com/p_e/IS99pe6wsw9mor0000000000.jpg	200000.0	[]	1984.0	NC	186994.0	28622	114796708
3.5	2	Elk Park	[u'Lot: 4.32 acres', u'Single Family', u'Built in 1978', u'All time views: 663', u'Heating: Heat pump', u'Last sold: Dec 2014 for $200,000', u'Last sale price/sqft: $47', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 4,224 sqft', u'Parcel #: 182900044690', u'Zillow Home ID: 114796701']	http://photos3.zillowstatic.com/p_e/ISxvewya28jbf40000000000.jpg	200000.0	[]	4224.0	NC	455265.0	28622	114796701
2.0	4	Elk Park	[u'Lot: 2 acres', u'Single Family', u'Built in 1950', u'All time views: 736', u'Last sold: Apr 2014 for $178,000', u'Last sale price/sqft: $92', u'Floor size: 1,944 sqft', u'Zillow Home ID: 2142027104']	http://photos2.zillowstatic.com/p_e/IS1r1mnto5pfnl0000000000.jpg	178000.0	[]	1944.0	NC	171193.0	28622	2142027104
1.5	2	Elk Park	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1924', u'All time views: 699', u'Heating: Forced air', u'Last sold: Mar 2014 for $153,000', u'Last sale price/sqft: $133', u'Foundation type: Footing', u'Roof type: Metal', u'Floor size: 1,154 sqft', u'Parcel #: 183900135922', u'Zillow Home ID: 114797095']	http://photos3.zillowstatic.com/p_e/IShvbxfppfnc6g0000000000.jpg	153000.0	[]	1154.0	NC	127440.0	28622	114797095
2.0	2	Elk Park	[u'Lot: 3.85 acres', u'Single Family', u'Built in 1984', u'All time views: 620', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Feb 2014 for $144,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'View: Mountain', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,350 sqft', u'Parcel #: 193000479440', u'Zillow Home ID: 114798032']	http://photos3.zillowstatic.com/p_e/IStoynecz3u6il0000000000.jpg	144000.0	[]	1350.0	NC	150947.0	28622	114798032
2.0	3	Elk Park	[u'Lot: 1.1 acres', u'Single Family', u'Built in 1969', u'All time views: 661', u'Heating: Forced air', u'Last sold: Dec 2013 for $90,000', u'Last sale price/sqft: $74', u'Parking: Carport', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,215 sqft', u'Parcel #: 182900968025', u'Zillow Home ID: 114796717']	http://photos2.zillowstatic.com/p_e/IS-lu5gramly5i5.jpg	90000.0	[]	1215.0	NC	132097.0	28622	114796717
2.0	2	Elk Park	[u'Lot: 4 acres', u'Single Family', u'Built in 1971', u'All time views: 5,899', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $24,500', u'Last sale price/sqft: $13', u'Barbecue', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Slate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Amenities: Other-See Remarks', u'Heat: Air Conditioning', u'Water: Private Well', u'Zoning: Residential', u'Garage: 1 Car', u'Appliances: None', u'Style: Ranch', u'Basement: Slab', u'Sewer: Septic Permit-2 Bedroom', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,900 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 182917113163', u'Zillow Home ID: 114796681']	http://photos3.zillowstatic.com/p_e/IS5anu896ejclq1000000000.jpg	24500.0	[]	1900.0	NC	133374.0	28622	114796681
1.0	4	Elk Park	[u'Lot: 6.65 acres', u'Single Family', u'Built in 1924', u'All time views: 736', u'Heating: Forced air', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $109', u'Foundation type: Footing', u'Floor size: 1,645 sqft', u'Parcel #: 193100320978', u'Zillow Home ID: 114797942']	http://photos2.zillowstatic.com/p_e/IStc94pfmh7sts1000000000.jpg	180000.0	[]	1645.0	NC	217591.0	28622	114797942
2.0	4	Elk Park	[u'Lot: 94.32 acres', u'Single Family', u'Built in 1986', u'All time views: 2,525', u'Heating: Baseboard, Radiant', u'Last sold: Dec 2015 for $715,000', u'Last sale price/sqft: $267', u'Attic', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,676 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2111519832']	http://photos2.zillowstatic.com/p_e/ISpxasveyno5sr0000000000.jpg	715000.0	[]	2676.0	NC	306987.0	28622	2111519832
2.0	3	Elk Park	[u'Lot: 12 acres', u'Single Family', u'Built in 1983', u'All time views: 1,651', u'Heating: Forced air', u'Last sold: Mar 2015 for $200,000', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 1,984 sqft', u'Parcel #: 182900609477', u'Zillow Home ID: 114796708']	http://photos1.zillowstatic.com/p_e/IS99pe6wsw9mor0000000000.jpg	200000.0	[]	1984.0	NC	186994.0	28622	114796708
3.5	2	Elk Park	[u'Lot: 4.32 acres', u'Single Family', u'Built in 1978', u'All time views: 664', u'Heating: Heat pump', u'Last sold: Dec 2014 for $200,000', u'Last sale price/sqft: $47', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 4,224 sqft', u'Parcel #: 182900044690', u'Zillow Home ID: 114796701']	http://photos3.zillowstatic.com/p_e/ISxvewya28jbf40000000000.jpg	200000.0	[]	4224.0	NC	455265.0	28622	114796701
2.0	4	Elk Park	[u'Lot: 2 acres', u'Single Family', u'Built in 1950', u'All time views: 737', u'Last sold: Apr 2014 for $178,000', u'Last sale price/sqft: $92', u'Floor size: 1,944 sqft', u'Zillow Home ID: 2142027104']	http://photos2.zillowstatic.com/p_e/IS1r1mnto5pfnl0000000000.jpg	178000.0	[]	1944.0	NC	171193.0	28622	2142027104
1.5	2	Elk Park	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1924', u'All time views: 700', u'Heating: Forced air', u'Last sold: Mar 2014 for $153,000', u'Last sale price/sqft: $133', u'Foundation type: Footing', u'Roof type: Metal', u'Floor size: 1,154 sqft', u'Parcel #: 183900135922', u'Zillow Home ID: 114797095']	http://photos3.zillowstatic.com/p_e/IShvbxfppfnc6g0000000000.jpg	153000.0	[]	1154.0	NC	127440.0	28622	114797095
2.0	2	Elk Park	[u'Lot: 3.85 acres', u'Single Family', u'Built in 1984', u'All time views: 621', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Feb 2014 for $144,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'View: Mountain', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Metal', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,350 sqft', u'Parcel #: 193000479440', u'Zillow Home ID: 114798032']	http://photos3.zillowstatic.com/p_e/IStoynecz3u6il0000000000.jpg	144000.0	[]	1350.0	NC	150947.0	28622	114798032
2.0	3	Elk Park	[u'Lot: 1.1 acres', u'Single Family', u'Built in 1969', u'All time views: 662', u'Heating: Forced air', u'Last sold: Dec 2013 for $90,000', u'Last sale price/sqft: $74', u'Parking: Carport', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,215 sqft', u'Parcel #: 182900968025', u'Zillow Home ID: 114796717']	http://photos2.zillowstatic.com/p_e/IS-lu5gramly5i5.jpg	90000.0	[]	1215.0	NC	132097.0	28622	114796717
2.0	2	Elk Park	[u'Lot: 4 acres', u'Single Family', u'Built in 1971', u'All time views: 5,900', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $24,500', u'Last sale price/sqft: $13', u'Barbecue', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Slate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport', u'Pond', u'Skylight', u'Amenities: Other-See Remarks', u'Heat: Air Conditioning', u'Water: Private Well', u'Zoning: Residential', u'Garage: 1 Car', u'Appliances: None', u'Style: Ranch', u'Basement: Slab', u'Sewer: Septic Permit-2 Bedroom', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,900 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 182917113163', u'Zillow Home ID: 114796681']	http://photos3.zillowstatic.com/p_e/IS5anu896ejclq1000000000.jpg	24500.0	[]	1900.0	NC	133374.0	28622	114796681
1.0	4	Elk Park	[u'Lot: 6.65 acres', u'Single Family', u'Built in 1924', u'All time views: 737', u'Heating: Forced air', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $109', u'Foundation type: Footing', u'Floor size: 1,645 sqft', u'Parcel #: 193100320978', u'Zillow Home ID: 114797942']	http://photos2.zillowstatic.com/p_e/IStc94pfmh7sts1000000000.jpg	180000.0	[]	1645.0	NC	217591.0	28622	114797942
2.0	4	Elk Park	[u'Lot: 94.32 acres', u'Single Family', u'Built in 1986', u'All time views: 2,526', u'Heating: Baseboard, Radiant', u'Last sold: Dec 2015 for $715,000', u'Last sale price/sqft: $267', u'Attic', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,676 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2111519832']	http://photos2.zillowstatic.com/p_e/ISpxasveyno5sr0000000000.jpg	715000.0	[]	2676.0	NC	306987.0	28622	2111519832
2.0	3	Elk Park	[u'Lot: 12 acres', u'Single Family', u'Built in 1983', u'All time views: 1,652', u'Heating: Forced air', u'Last sold: Mar 2015 for $200,000', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 1,984 sqft', u'Parcel #: 182900609477', u'Zillow Home ID: 114796708']	http://photos1.zillowstatic.com/p_e/IS99pe6wsw9mor0000000000.jpg	200000.0	[]	1984.0	NC	186994.0	28622	114796708
3.5	2	Elk Park	[u'Lot: 4.32 acres', u'Single Family', u'Built in 1978', u'All time views: 665', u'Heating: Heat pump', u'Last sold: Dec 2014 for $200,000', u'Last sale price/sqft: $47', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Footing', u'Roof type: Asphalt', u'Floor size: 4,224 sqft', u'Parcel #: 182900044690', u'Zillow Home ID: 114796701']	http://photos3.zillowstatic.com/p_e/ISxvewya28jbf40000000000.jpg	200000.0	[]	4224.0	NC	455265.0	28622	114796701
2.0	4	Elk Park	[u'Lot: 2 acres', u'Single Family', u'Built in 1950', u'All time views: 738', u'Last sold: Apr 2014 for $178,000', u'Last sale price/sqft: $92', u'Floor size: 1,944 sqft', u'Zillow Home ID: 2142027104']	http://photos2.zillowstatic.com/p_e/IS1r1mnto5pfnl0000000000.jpg	178000.0	[]	1944.0	NC	171193.0	28622	2142027104
1.5	2	Elk Park	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1924', u'All time views: 701', u'Heating: Forced air', u'Last sold: Mar 2014 for $153,000', u'Last sale price/sqft: $133', u'Foundation type: Footing', u'Roof type: Metal', u'Floor size: 1,154 sqft', u'Parcel #: 183900135922', u'Zillow Home ID: 114797095']	http://photos3.zillowstatic.com/p_e/IShvbxfppfnc6g0000000000.jpg	153000.0	[]	1154.0	NC	127440.0	28622	114797095
