baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.5	4	Gaston	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2007', u'All time views: 311', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $470,000', u'Last sale price/sqft: $149', u'Fireplace', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1.5', u'Floor size: 3,159 sqft', u'Heating: Other', u'Parcel #: 01-09247', u'Zillow Home ID: 114833738']	http://photos1.zillowstatic.com/p_e/ISx3xr5u40ow4z0000000000.jpg	470000.0	[]	3159.0	NC	220330.0	27832	114833738
2.5	3	Gaston	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 5,185', u'Heating: Other', u'Last sold: Sep 2014 for $145,000', u'Last sale price/sqft: $71', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 2,036 sqft', u'Heating: Other', u'Parcel #: 01-01466', u'Zillow Home ID: 114830829']	http://photos3.zillowstatic.com/p_e/ISlupyum5w533a1000000000.jpg	145000.0	[]	2036.0	NC	170038.0	27832	114830829
2.0	2	Gaston	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1991', u'All time views: 3,607', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $140,000', u'Last sale price/sqft: $99', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,420 sqft', u'Heating: Other', u'Parcel #: 01-01907', u'Zillow Home ID: 114831028']	http://photos3.zillowstatic.com/p_e/ISliwbca9os6wa1000000000.jpg	140000.0	[]	1420.0	NC	197157.0	27832	114831028
2.0	3	Gaston	[u'Single Family', u'Built in 1995', u'All time views: 2,302', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $180,000', u'Last sale price/sqft: $146', u'Fireplace', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,232 sqft', u'Heating: Other', u'Parcel #: 01-03487', u'Zillow Home ID: 114831986']	http://photos2.zillowstatic.com/p_e/IStwgbf1c8q1cb1000000000.jpg	180000.0	[]	1232.0	NC	106281.0	27832	114831986
2.5	3	Gaston	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1997', u'All time views: 785', u'Cooling: Other', u'Heating: Other', u'Last sold: Oct 2013 for $105,000', u'Last sale price/sqft: $63', u'Foundation type: Concrete', u'Room count: 8', u'Stories: 2', u'Floor size: 1,674 sqft', u'Heating: Other', u'Parcel #: 01-02475', u'Zillow Home ID: 114831207']	http://photos3.zillowstatic.com/p_e/IS-1d4wzkllqp3rx.jpg	105000.0	[]	1674.0	NC	82936.0	27832	114831207
1.0	2	Gaston	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1920', u'All time views: 753', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $8,000', u'Last sale price/sqft: $5', u'Flooring: Hardwood', u'Porch', u'Storage Building', u'Construction: Site Built', u'Garage: None-Garage', u'Fencing: None', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Misc Info: None', u'A: None', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Style: Ranch', u'Style: 1 Story', u'Water: Public Water Available', u'None', u'Sewer: Other-See Remarks', u'Doors: Storm-None', u'Windows: Storm-None', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,478 sqft', u'Heating: Other', u'Parcel #: 01-09610', u'Zillow Home ID: 114833806']	http://photos2.zillowstatic.com/p_e/IShnh8mznduqvl0000000000.jpg	8000.0	[]	1478.0	NC	55146.0	27832	114833806
2.0	4	Gaston	[u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 3,464', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2015 for $22,000', u'Last sale price/sqft: $11', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'View: Water', u'Storage Building', u'Heating: Electric', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Work Island', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Gravel Road', u'Waterfront Desc: Roanoke Rapids Lake', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,052 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 01-08734', u'Zillow Home ID: 114833637']	http://photos3.zillowstatic.com/p_e/IShfjkal246ror1000000000.jpg	22000.0	[]	2052.0	NC	178143.0	27832	114833637
2.0	3	Gaston	[u'Lot: 6.32 acres', u'Single Family', u'Built in 2010', u'All time views: 1,129', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $110,000', u'Last sale price/sqft: $71', u'Fireplace', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,558 sqft', u'Heating: Other', u'Parcel #: 01-09765', u'Zillow Home ID: 114833856']	http://photos3.zillowstatic.com/p_e/ISlqezwu70i4cb1000000000.jpg	110000.0	[]	1558.0	NC	125616.0	27832	114833856
1.0	3	Gaston	[u'Lot: 0.66 acres', u'Single Family', u'Built in 1948', u'All time views: 516', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $37,000', u'Last sale price/sqft: $45', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 828 sqft', u'Heating: Other', u'Parcel #: 01-06968', u'Zillow Home ID: 114833150']	http://photos1.zillowstatic.com/p_e/ISdk49a9ncwn6y0000000000.jpg	37000.0	[]	828.0	NC	58471.0	27832	114833150
4.5	4	Gaston	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2007', u'All time views: 308', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $470,000', u'Last sale price/sqft: $149', u'Fireplace', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1.5', u'Floor size: 3,159 sqft', u'Heating: Other', u'Parcel #: 01-09247', u'Zillow Home ID: 114833738']	http://photos1.zillowstatic.com/p_e/ISx3xr5u40ow4z0000000000.jpg	470000.0	[]	3159.0	NC	220330.0	27832	114833738
2.5	3	Gaston	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 5,186', u'Heating: Other', u'Last sold: Sep 2014 for $145,000', u'Last sale price/sqft: $71', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 2,036 sqft', u'Heating: Other', u'Parcel #: 01-01466', u'Zillow Home ID: 114830829']	http://photos3.zillowstatic.com/p_e/ISlupyum5w533a1000000000.jpg	145000.0	[]	2036.0	NC	170038.0	27832	114830829
2.0	2	Gaston	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1991', u'All time views: 3,606', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $140,000', u'Last sale price/sqft: $99', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,420 sqft', u'Heating: Other', u'Parcel #: 01-01907', u'Zillow Home ID: 114831028']	http://photos3.zillowstatic.com/p_e/ISliwbca9os6wa1000000000.jpg	140000.0	[]	1420.0	NC	197157.0	27832	114831028
2.0	3	Gaston	[u'Single Family', u'Built in 1995', u'All time views: 2,304', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $180,000', u'Last sale price/sqft: $146', u'Fireplace', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,232 sqft', u'Heating: Other', u'Parcel #: 01-03487', u'Zillow Home ID: 114831986']	http://photos2.zillowstatic.com/p_e/IStwgbf1c8q1cb1000000000.jpg	180000.0	[]	1232.0	NC	106281.0	27832	114831986
2.5	3	Gaston	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1997', u'All time views: 786', u'Cooling: Other', u'Heating: Other', u'Last sold: Oct 2013 for $105,000', u'Last sale price/sqft: $63', u'Foundation type: Concrete', u'Room count: 8', u'Stories: 2', u'Floor size: 1,674 sqft', u'Heating: Other', u'Parcel #: 01-02475', u'Zillow Home ID: 114831207']	http://photos3.zillowstatic.com/p_e/IS-1d4wzkllqp3rx.jpg	105000.0	[]	1674.0	NC	82936.0	27832	114831207
1.0	2	Gaston	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1920', u'All time views: 750', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $8,000', u'Last sale price/sqft: $5', u'Flooring: Hardwood', u'Porch', u'Storage Building', u'Construction: Site Built', u'Garage: None-Garage', u'Fencing: None', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Misc Info: None', u'A: None', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Style: Ranch', u'Style: 1 Story', u'Water: Public Water Available', u'None', u'Sewer: Other-See Remarks', u'Doors: Storm-None', u'Windows: Storm-None', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,478 sqft', u'Heating: Other', u'Parcel #: 01-09610', u'Zillow Home ID: 114833806']	http://photos2.zillowstatic.com/p_e/IShnh8mznduqvl0000000000.jpg	8000.0	[]	1478.0	NC	55146.0	27832	114833806
2.0	4	Gaston	[u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 3,466', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2015 for $22,000', u'Last sale price/sqft: $11', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'View: Water', u'Storage Building', u'Heating: Electric', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Work Island', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Gravel Road', u'Waterfront Desc: Roanoke Rapids Lake', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,052 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 01-08734', u'Zillow Home ID: 114833637']	http://photos3.zillowstatic.com/p_e/IShfjkal246ror1000000000.jpg	22000.0	[]	2052.0	NC	178143.0	27832	114833637
2.0	3	Gaston	[u'Lot: 6.32 acres', u'Single Family', u'Built in 2010', u'All time views: 1,132', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $110,000', u'Last sale price/sqft: $71', u'Fireplace', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,558 sqft', u'Heating: Other', u'Parcel #: 01-09765', u'Zillow Home ID: 114833856']	http://photos3.zillowstatic.com/p_e/ISlqezwu70i4cb1000000000.jpg	110000.0	[]	1558.0	NC	125616.0	27832	114833856
1.0	3	Gaston	[u'Lot: 0.66 acres', u'Single Family', u'Built in 1948', u'All time views: 517', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $37,000', u'Last sale price/sqft: $45', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 828 sqft', u'Heating: Other', u'Parcel #: 01-06968', u'Zillow Home ID: 114833150']	http://photos1.zillowstatic.com/p_e/ISdk49a9ncwn6y0000000000.jpg	37000.0	[]	828.0	NC	58471.0	27832	114833150
4.5	4	Gaston	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2007', u'All time views: 312', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $470,000', u'Last sale price/sqft: $149', u'Fireplace', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1.5', u'Floor size: 3,159 sqft', u'Heating: Other', u'Parcel #: 01-09247', u'Zillow Home ID: 114833738']	http://photos1.zillowstatic.com/p_e/ISx3xr5u40ow4z0000000000.jpg	470000.0	[]	3159.0	NC	220330.0	27832	114833738
2.5	3	Gaston	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 5,188', u'Heating: Other', u'Last sold: Sep 2014 for $145,000', u'Last sale price/sqft: $71', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 2,036 sqft', u'Heating: Other', u'Parcel #: 01-01466', u'Zillow Home ID: 114830829']	http://photos3.zillowstatic.com/p_e/ISlupyum5w533a1000000000.jpg	145000.0	[]	2036.0	NC	170038.0	27832	114830829
2.0	2	Gaston	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1991', u'All time views: 3,608', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $140,000', u'Last sale price/sqft: $99', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,420 sqft', u'Heating: Other', u'Parcel #: 01-01907', u'Zillow Home ID: 114831028']	http://photos3.zillowstatic.com/p_e/ISliwbca9os6wa1000000000.jpg	140000.0	[]	1420.0	NC	197157.0	27832	114831028
2.0	3	Gaston	[u'Single Family', u'Built in 1995', u'All time views: 2,305', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $180,000', u'Last sale price/sqft: $146', u'Fireplace', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,232 sqft', u'Heating: Other', u'Parcel #: 01-03487', u'Zillow Home ID: 114831986']	http://photos2.zillowstatic.com/p_e/IStwgbf1c8q1cb1000000000.jpg	180000.0	[]	1232.0	NC	106281.0	27832	114831986
2.5	3	Gaston	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1997', u'All time views: 787', u'Cooling: Other', u'Heating: Other', u'Last sold: Oct 2013 for $105,000', u'Last sale price/sqft: $63', u'Foundation type: Concrete', u'Room count: 8', u'Stories: 2', u'Floor size: 1,674 sqft', u'Heating: Other', u'Parcel #: 01-02475', u'Zillow Home ID: 114831207']	http://photos3.zillowstatic.com/p_e/IS-1d4wzkllqp3rx.jpg	105000.0	[]	1674.0	NC	82936.0	27832	114831207
1.0	2	Gaston	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1920', u'All time views: 755', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $8,000', u'Last sale price/sqft: $5', u'Flooring: Hardwood', u'Porch', u'Storage Building', u'Construction: Site Built', u'Garage: None-Garage', u'Fencing: None', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Misc Info: None', u'A: None', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Style: Ranch', u'Style: 1 Story', u'Water: Public Water Available', u'None', u'Sewer: Other-See Remarks', u'Doors: Storm-None', u'Windows: Storm-None', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,478 sqft', u'Heating: Other', u'Parcel #: 01-09610', u'Zillow Home ID: 114833806']	http://photos2.zillowstatic.com/p_e/IShnh8mznduqvl0000000000.jpg	8000.0	[]	1478.0	NC	55146.0	27832	114833806
2.0	4	Gaston	[u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 3,467', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2015 for $22,000', u'Last sale price/sqft: $11', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'View: Water', u'Storage Building', u'Heating: Electric', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Work Island', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Gravel Road', u'Waterfront Desc: Roanoke Rapids Lake', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,052 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 01-08734', u'Zillow Home ID: 114833637']	http://photos3.zillowstatic.com/p_e/IShfjkal246ror1000000000.jpg	22000.0	[]	2052.0	NC	178143.0	27832	114833637
2.0	3	Gaston	[u'Lot: 6.32 acres', u'Single Family', u'Built in 2010', u'All time views: 1,133', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $110,000', u'Last sale price/sqft: $71', u'Fireplace', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,558 sqft', u'Heating: Other', u'Parcel #: 01-09765', u'Zillow Home ID: 114833856']	http://photos3.zillowstatic.com/p_e/ISlqezwu70i4cb1000000000.jpg	110000.0	[]	1558.0	NC	125616.0	27832	114833856
1.0	3	Gaston	[u'Lot: 0.66 acres', u'Single Family', u'Built in 1948', u'All time views: 518', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $37,000', u'Last sale price/sqft: $45', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 828 sqft', u'Heating: Other', u'Parcel #: 01-06968', u'Zillow Home ID: 114833150']	http://photos1.zillowstatic.com/p_e/ISdk49a9ncwn6y0000000000.jpg	37000.0	[]	828.0	NC	58471.0	27832	114833150
4.5	4	Gaston	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2007', u'All time views: 313', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $470,000', u'Last sale price/sqft: $149', u'Fireplace', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1.5', u'Floor size: 3,159 sqft', u'Heating: Other', u'Parcel #: 01-09247', u'Zillow Home ID: 114833738']	http://photos1.zillowstatic.com/p_e/ISx3xr5u40ow4z0000000000.jpg	470000.0	[]	3159.0	NC	220330.0	27832	114833738
2.5	3	Gaston	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 5,189', u'Heating: Other', u'Last sold: Sep 2014 for $145,000', u'Last sale price/sqft: $71', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 2,036 sqft', u'Heating: Other', u'Parcel #: 01-01466', u'Zillow Home ID: 114830829']	http://photos3.zillowstatic.com/p_e/ISlupyum5w533a1000000000.jpg	145000.0	[]	2036.0	NC	170038.0	27832	114830829
2.0	2	Gaston	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1991', u'All time views: 3,609', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $140,000', u'Last sale price/sqft: $99', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,420 sqft', u'Heating: Other', u'Parcel #: 01-01907', u'Zillow Home ID: 114831028']	http://photos3.zillowstatic.com/p_e/ISliwbca9os6wa1000000000.jpg	140000.0	[]	1420.0	NC	197157.0	27832	114831028
2.0	3	Gaston	[u'Single Family', u'Built in 1995', u'All time views: 2,306', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $180,000', u'Last sale price/sqft: $146', u'Fireplace', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,232 sqft', u'Heating: Other', u'Parcel #: 01-03487', u'Zillow Home ID: 114831986']	http://photos2.zillowstatic.com/p_e/IStwgbf1c8q1cb1000000000.jpg	180000.0	[]	1232.0	NC	106281.0	27832	114831986
2.5	3	Gaston	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1997', u'All time views: 788', u'Cooling: Other', u'Heating: Other', u'Last sold: Oct 2013 for $105,000', u'Last sale price/sqft: $63', u'Foundation type: Concrete', u'Room count: 8', u'Stories: 2', u'Floor size: 1,674 sqft', u'Heating: Other', u'Parcel #: 01-02475', u'Zillow Home ID: 114831207']	http://photos3.zillowstatic.com/p_e/IS-1d4wzkllqp3rx.jpg	105000.0	[]	1674.0	NC	82936.0	27832	114831207
1.0	2	Gaston	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1920', u'All time views: 756', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $8,000', u'Last sale price/sqft: $5', u'Flooring: Hardwood', u'Porch', u'Storage Building', u'Construction: Site Built', u'Garage: None-Garage', u'Fencing: None', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Misc Info: None', u'A: None', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Style: Ranch', u'Style: 1 Story', u'Water: Public Water Available', u'None', u'Sewer: Other-See Remarks', u'Doors: Storm-None', u'Windows: Storm-None', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,478 sqft', u'Heating: Other', u'Parcel #: 01-09610', u'Zillow Home ID: 114833806']	http://photos2.zillowstatic.com/p_e/IShnh8mznduqvl0000000000.jpg	8000.0	[]	1478.0	NC	55146.0	27832	114833806
2.0	4	Gaston	[u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 3,468', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2015 for $22,000', u'Last sale price/sqft: $11', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'View: Water', u'Storage Building', u'Heating: Electric', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Work Island', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Gravel Road', u'Waterfront Desc: Roanoke Rapids Lake', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,052 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 01-08734', u'Zillow Home ID: 114833637']	http://photos3.zillowstatic.com/p_e/IShfjkal246ror1000000000.jpg	22000.0	[]	2052.0	NC	178143.0	27832	114833637
2.0	3	Gaston	[u'Lot: 6.32 acres', u'Single Family', u'Built in 2010', u'All time views: 1,134', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2014 for $110,000', u'Last sale price/sqft: $71', u'Fireplace', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,558 sqft', u'Heating: Other', u'Parcel #: 01-09765', u'Zillow Home ID: 114833856']	http://photos3.zillowstatic.com/p_e/ISlqezwu70i4cb1000000000.jpg	110000.0	[]	1558.0	NC	125616.0	27832	114833856
1.0	3	Gaston	[u'Lot: 0.66 acres', u'Single Family', u'Built in 1948', u'All time views: 519', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $37,000', u'Last sale price/sqft: $45', u'Parking: Garage - Attached, 400 sqft garage', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 828 sqft', u'Heating: Other', u'Parcel #: 01-06968', u'Zillow Home ID: 114833150']	http://photos1.zillowstatic.com/p_e/ISdk49a9ncwn6y0000000000.jpg	37000.0	[]	828.0	NC	58471.0	27832	114833150
4.5	4	Gaston	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2007', u'All time views: 314', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $470,000', u'Last sale price/sqft: $149', u'Fireplace', u'Foundation type: Concrete', u'Room count: 7', u'Stories: 1.5', u'Floor size: 3,159 sqft', u'Heating: Other', u'Parcel #: 01-09247', u'Zillow Home ID: 114833738']	http://photos1.zillowstatic.com/p_e/ISx3xr5u40ow4z0000000000.jpg	470000.0	[]	3159.0	NC	220330.0	27832	114833738
2.5	3	Gaston	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 5,190', u'Heating: Other', u'Last sold: Sep 2014 for $145,000', u'Last sale price/sqft: $71', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 2,036 sqft', u'Heating: Other', u'Parcel #: 01-01466', u'Zillow Home ID: 114830829']	http://photos3.zillowstatic.com/p_e/ISlupyum5w533a1000000000.jpg	145000.0	[]	2036.0	NC	170038.0	27832	114830829
2.0	2	Gaston	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1991', u'All time views: 3,610', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $140,000', u'Last sale price/sqft: $99', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,420 sqft', u'Heating: Other', u'Parcel #: 01-01907', u'Zillow Home ID: 114831028']	http://photos3.zillowstatic.com/p_e/ISliwbca9os6wa1000000000.jpg	140000.0	[]	1420.0	NC	197157.0	27832	114831028
2.0	3	Gaston	[u'Single Family', u'Built in 1995', u'All time views: 2,307', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $180,000', u'Last sale price/sqft: $146', u'Fireplace', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 1,232 sqft', u'Heating: Other', u'Parcel #: 01-03487', u'Zillow Home ID: 114831986']	http://photos2.zillowstatic.com/p_e/IStwgbf1c8q1cb1000000000.jpg	180000.0	[]	1232.0	NC	106281.0	27832	114831986
2.5	3	Gaston	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1997', u'All time views: 789', u'Cooling: Other', u'Heating: Other', u'Last sold: Oct 2013 for $105,000', u'Last sale price/sqft: $63', u'Foundation type: Concrete', u'Room count: 8', u'Stories: 2', u'Floor size: 1,674 sqft', u'Heating: Other', u'Parcel #: 01-02475', u'Zillow Home ID: 114831207']	http://photos3.zillowstatic.com/p_e/IS-1d4wzkllqp3rx.jpg	105000.0	[]	1674.0	NC	82936.0	27832	114831207
1.0	2	Gaston	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1920', u'All time views: 757', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Oct 2015 for $8,000', u'Last sale price/sqft: $5', u'Flooring: Hardwood', u'Porch', u'Storage Building', u'Construction: Site Built', u'Garage: None-Garage', u'Fencing: None', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Misc Info: None', u'A: None', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Style: Ranch', u'Style: 1 Story', u'Water: Public Water Available', u'None', u'Sewer: Other-See Remarks', u'Doors: Storm-None', u'Windows: Storm-None', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 1,478 sqft', u'Heating: Other', u'Parcel #: 01-09610', u'Zillow Home ID: 114833806']	http://photos2.zillowstatic.com/p_e/IShnh8mznduqvl0000000000.jpg	8000.0	[]	1478.0	NC	55146.0	27832	114833806
2.0	4	Gaston	[u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 3,469', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Sep 2015 for $22,000', u'Last sale price/sqft: $11', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'View: Water', u'Storage Building', u'Heating: Electric', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Work Island', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Gravel Road', u'Waterfront Desc: Roanoke Rapids Lake', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,052 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 01-08734', u'Zillow Home ID: 114833637']	http://photos3.zillowstatic.com/p_e/IShfjkal246ror1000000000.jpg	22000.0	[]	2052.0	NC	178143.0	27832	114833637
