baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,467', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,021', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,480', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,238', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,531', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,542', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,769', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,463', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 822', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,785', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,145', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,236', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,468', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,022', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,481', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,239', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,532', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,543', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,770', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,464', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 823', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,786', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,146', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,237', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,469', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,023', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,482', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,240', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,533', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,544', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,771', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,465', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 824', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,787', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,147', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,238', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,470', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,024', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,483', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,241', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,534', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,545', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,772', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
