baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,733', u'All time views: 1,846', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,548', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,218', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,890', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
3.0	4	Belvidere	[u'Lot: 2 acres', u'Single Family', u'Built in 2009', u'All time views: 2,901', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Dec 2014 for $218,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Structure type: Other', u'Floor size: 2,800 sqft', u'Parcel #: 1-0011-0084A', u'Zillow Home ID: 116099700']	http://photos3.zillowstatic.com/p_e/ISxn0wqipj08fm1000000000.jpg	218000.0	[]	2800.0	NC	222345.0	27919	116099700
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,733', u'All time views: 1,845', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,550', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,216', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,891', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
3.0	4	Belvidere	[u'Lot: 2 acres', u'Single Family', u'Built in 2009', u'All time views: 2,899', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Dec 2014 for $218,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Structure type: Other', u'Floor size: 2,800 sqft', u'Parcel #: 1-0011-0084A', u'Zillow Home ID: 116099700']	http://photos3.zillowstatic.com/p_e/ISxn0wqipj08fm1000000000.jpg	218000.0	[]	2800.0	NC	222345.0	27919	116099700
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,738', u'All time views: 1,851', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,549', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,217', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,887', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
3.0	4	Belvidere	[u'Lot: 2 acres', u'Single Family', u'Built in 2009', u'All time views: 2,894', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Dec 2014 for $218,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Structure type: Other', u'Floor size: 2,800 sqft', u'Parcel #: 1-0011-0084A', u'Zillow Home ID: 116099700']	http://photos3.zillowstatic.com/p_e/ISxn0wqipj08fm1000000000.jpg	218000.0	[]	2800.0	NC	222345.0	27919	116099700
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,729', u'All time views: 1,842', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,544', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,211', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,892', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
3.0	4	Belvidere	[u'Lot: 2 acres', u'Single Family', u'Built in 2009', u'All time views: 2,895', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Dec 2014 for $218,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Structure type: Other', u'Floor size: 2,800 sqft', u'Parcel #: 1-0011-0084A', u'Zillow Home ID: 116099700']	http://photos3.zillowstatic.com/p_e/ISxn0wqipj08fm1000000000.jpg	218000.0	[]	2800.0	NC	222345.0	27919	116099700
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,736', u'All time views: 1,850', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,551', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,215', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,889', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
3.0	4	Belvidere	[u'Lot: 2 acres', u'Single Family', u'Built in 2009', u'All time views: 2,897', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Dec 2014 for $218,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Structure type: Other', u'Floor size: 2,800 sqft', u'Parcel #: 1-0011-0084A', u'Zillow Home ID: 116099700']	http://photos3.zillowstatic.com/p_e/ISxn0wqipj08fm1000000000.jpg	218000.0	[]	2800.0	NC	222345.0	27919	116099700
2.0	3	Belvidere	[u'Baths: 1 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1931', u'67 days on Zillow', u'Views since listing: 1,734', u'All time views: 1,849', u'14 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2014 for $80,000', u'Last sale price/sqft: $64', u'MLS #: 83745', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces', u'Porch', u'View: Territorial', u'Wired', u'3 bay shelter with lean to off back.  10x60 slab of cement', u'plenty of yard to play', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Cement concrete, Shingle, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,250 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Laundry: In Unit, Shared', u'Parcel #: 07-00951', u'Zillow Home ID: 106980609']	http://photos2.zillowstatic.com/p_e/ISew5qxzjo766b1000000000.jpg	80000.0	[]	1250.0	NC	138409.0	27919	106980609
1.0	2	Belvidere	[u'Lot: 5.72 acres', u'Single Family', u'Built in 1940', u'All time views: 1,552', u'Cooling: None', u'Last sold: Nov 2013 for $5,000', u'Last sale price/sqft: $4', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Rooms: Living Room', u'Water Desc: None', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Foundation: Other', u'Attic: Access Only', u'Appliances: None', u'Air Conditioning: Window Units', u'Drive: Dirt', u'County: Perquimans', u'Drive: Gravel', u'Location Description: 5.1-10 acres', u'Heating System: Space Heater', u'Dining room', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Parcel #: 1-0017-0010', u'Zillow Home ID: 107054547']	http://photos1.zillowstatic.com/p_e/IS9pl2jkivd9i50000000000.jpg	5000.0	[]	1255.0	NC	79565.0	27919	107054547
1.0	3	Belvidere	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 4,219', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $100,500', u'Last sale price/sqft: $91', u'Flooring: Carpet, Laminate', u'Parking: Garage - Detached, 2 spaces', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,100 sqft', u'Heating: Electric, Oil', u'Parcel #: 1-0022-0035', u'Zillow Home ID: 107054629']	http://photos2.zillowstatic.com/p_e/ISdcqoedgvqgwh1000000000.jpg	100500.0	[]	1100.0	NC	78040.0	27919	107054629
2.0	3	Belvidere	[u'Lot: 9.63 acres', u'Single Family', u'Built in 1977', u'All time views: 2,896', u'Heating: Heat pump', u'Last sold: Aug 2015 for $174,000', u'Last sale price/sqft: $66', u'Deck', u'Fireplace', u'Lawn', u'Porch', u'View: Territorial', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Floor size: 2,653 sqft', u'Parcel #: 07-00903', u'Zillow Home ID: 118722697']	http://photos3.zillowstatic.com/p_e/IShr06kg2x0t2l1000000000.jpg	174000.0	[]	2653.0	NC	191229.0	27919	118722697
