baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Boomer	[u'Lot: 1.02 acres', u'Single Family', u'Built in 2006', u'All time views: 959', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $149,900', u'Last sale price/sqft: $118', u'Flooring: Carpet, Hardwood', u'Porch', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Location Description: Hill & Mountain View', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Water: Private Well', u'Type: Log Home', u'Construction: Log', u'1-5 Acres', u'Road Maintenance: Private Maintained', u'Area: Area 2', u'Apx Age: 6 - 10', u'Type: Cabin', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Roof type: Metal', u'Floor size: 1,271 sqft', u'Parcel #: 0200660', u'Zillow Home ID: 97070403']	http://photos1.zillowstatic.com/p_e/ISphivq1hi4q081000000000.jpg	149900.0	[]	1271.0	NC	155866.0	28606	97070403
3.0	3	Boomer	[u'Lot: 4.3 acres', u'Single Family', u'Built in 2008', u'All time views: 866', u'HOA Fee: $175/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $290,725', u'Last sale price/sqft: $130', u'1789 sqft basement', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Parking: Garage - Attached', u'Partial basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Structure type: Ranch', u'Floor size: 2,231 sqft', u'Heating: Electric', u'Zillow Home ID: 2101190722']	http://photos1.zillowstatic.com/p_e/ISpx692grtkzp60000000000.jpg	290725.0	[]	2231.0	NC	209093.0	28606	2101190722
3.5	3	Boomer	[u'Lot: 5 acres', u'Single Family', u'Built in 1999', u'All time views: 485', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2015 for $448,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Type: Raised Ranch', u'Private Yard', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Water: Private Well', u'Smoke Detector', u'Rec Room', u'Construction: Brick', u'1-5 Acres', u'Attic: Floored', u'Attic: Permanent Stairs', u'Area: Area 2', u'Apx SqFt: 3400 +', u'Garage: Other-See Remarks', u'Apx Age: 16 - 20', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Floor size: 3,635 sqft', u'Laundry: In Unit', u'Parcel #: 0200533', u'Zillow Home ID: 86697243']	http://photos3.zillowstatic.com/p_e/IS95u3ycfxanw01000000000.jpg	448000.0	[]	3635.0	NC	0.0	28606	86697243
2.0	3	Boomer	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1974', u'All time views: 1,585', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Feb 2015 for $105,000', u'Last sale price/sqft: $48', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Type: Ranch', u'Apx Age: Over 25', u'Foundation: Basement', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'In-Law Quarters', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Level Lot', u'Property Type: Residential', u'Financing: FHA', u'Water: Private Well', u'Financing: VA', u'Attic: None', u'Construction: Brick', u'Location Description: Gravel Drive', u'Area: Area 2', u'Apx SqFt: 2000 - 2200 SF', u'Whole House Fan', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Structure type: Ranch', u'Floor size: 2,200 sqft', u'Laundry: In Unit', u'Parcel #: 0300228', u'Zillow Home ID: 86697586']	http://photos2.zillowstatic.com/p_e/IS5e21fjuf7btr1000000000.jpg	105000.0	[]	2200.0	NC	120772.0	28606	86697586
1.0	3	Boomer	[u'Lot: 1.92 acres', u'Single Family', u'Built in 1986', u'All time views: 1,641', u'Last sold: Oct 2014 for $26,250', u'Last sale price/sqft: $27', u'Structure type: Bungalow', u'Floor size: 960 sqft', u'Parcel #: 0200314', u'Zillow Home ID: 86697165']	http://photos2.zillowstatic.com/p_e/IS5684juhnnsla0000000000.jpg	26250.0	[]	960.0	NC	76089.0	28606	86697165
1.5	3	Boomer	[u'Lot: 7.62 acres', u'Single Family', u'Built in 1987', u'All time views: 1,799', u'Last sold: Mar 2014 for $130,000', u'Last sale price/sqft: $70', u'Structure type: Ranch', u'Floor size: 1,848 sqft', u'Parcel #: 0200466', u'Zillow Home ID: 86697217']	http://photos2.zillowstatic.com/p_e/IS5mo3y7gmlhma0000000000.jpg	130000.0	[]	1848.0	NC	160752.0	28606	86697217
2.0	4	Boomer	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2003', u'All time views: 1,319', u'Last sold: Mar 2014 for $39,900', u'Last sale price/sqft: $19', u'Floor size: 2,052 sqft', u'Parcel #: 0200591', u'Zillow Home ID: 86697266']	http://photos2.zillowstatic.com/p_e/ISt087xy50sler0000000000.jpg	39900.0	[]	2052.0	NC	99799.0	28606	86697266
2.0	4	Boomer	[u'Single Family', u'Built in 2005', u'All time views: 317', u'Last sold: Mar 2014 for $38,000', u'Last sale price/sqft: $19', u'Floor size: 2,022 sqft', u'Zillow Home ID: 2109131738']	http://photos1.zillowstatic.com/p_e/ISleh5291i9yvx0000000000.jpg	38000.0	[]	2022.0	NC	140726.0	28606	2109131738
2.0	3	Boomer	[u'Single Family', u'Built in 1974', u'All time views: 614', u'Last sold: Jan 2014 for $66,000', u'Last sale price/sqft: $60', u'Structure type: Ranch', u'Floor size: 1,100 sqft', u'Zillow Home ID: 2110330038']	http://photos3.zillowstatic.com/p_e/ISl24f71js63oc0000000000.jpg	66000.0	[]	1100.0	NC	74214.0	28606	2110330038
2.5	3	Boomer	[u'Lot: 10.2 acres', u'Single Family', u'Built in 1993', u'All time views: 1,623', u'Last sold: Jan 2014 for $205,000', u'Last sale price/sqft: $97', u'Floor size: 2,110 sqft', u'Parcel #: 0200534', u'Zillow Home ID: 86697244']	http://photos2.zillowstatic.com/p_e/IS1rt7jq119ct50000000000.jpg	205000.0	[]	2110.0	NC	213470.0	28606	86697244
1.0	2	Boomer	[u'Lot: 1.02 acres', u'Single Family', u'Built in 2006', u'All time views: 963', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $149,900', u'Last sale price/sqft: $118', u'Flooring: Carpet, Hardwood', u'Porch', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Location Description: Hill & Mountain View', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Water: Private Well', u'Type: Log Home', u'Construction: Log', u'1-5 Acres', u'Road Maintenance: Private Maintained', u'Area: Area 2', u'Apx Age: 6 - 10', u'Type: Cabin', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Roof type: Metal', u'Floor size: 1,271 sqft', u'Parcel #: 0200660', u'Zillow Home ID: 97070403']	http://photos1.zillowstatic.com/p_e/ISphivq1hi4q081000000000.jpg	149900.0	[]	1271.0	NC	155866.0	28606	97070403
3.0	3	Boomer	[u'Lot: 4.3 acres', u'Single Family', u'Built in 2008', u'All time views: 867', u'HOA Fee: $175/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $290,725', u'Last sale price/sqft: $130', u'1789 sqft basement', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Parking: Garage - Attached', u'Partial basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Structure type: Ranch', u'Floor size: 2,231 sqft', u'Heating: Electric', u'Zillow Home ID: 2101190722']	http://photos1.zillowstatic.com/p_e/ISpx692grtkzp60000000000.jpg	290725.0	[]	2231.0	NC	209093.0	28606	2101190722
3.5	3	Boomer	[u'Lot: 5 acres', u'Single Family', u'Built in 1999', u'All time views: 486', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2015 for $448,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Type: Raised Ranch', u'Private Yard', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Water: Private Well', u'Smoke Detector', u'Rec Room', u'Construction: Brick', u'1-5 Acres', u'Attic: Floored', u'Attic: Permanent Stairs', u'Area: Area 2', u'Apx SqFt: 3400 +', u'Garage: Other-See Remarks', u'Apx Age: 16 - 20', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Floor size: 3,635 sqft', u'Laundry: In Unit', u'Parcel #: 0200533', u'Zillow Home ID: 86697243']	http://photos3.zillowstatic.com/p_e/IS95u3ycfxanw01000000000.jpg	448000.0	[]	3635.0	NC	0.0	28606	86697243
2.0	3	Boomer	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1974', u'All time views: 1,586', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Feb 2015 for $105,000', u'Last sale price/sqft: $48', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Type: Ranch', u'Apx Age: Over 25', u'Foundation: Basement', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'In-Law Quarters', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Level Lot', u'Property Type: Residential', u'Financing: FHA', u'Water: Private Well', u'Financing: VA', u'Attic: None', u'Construction: Brick', u'Location Description: Gravel Drive', u'Area: Area 2', u'Apx SqFt: 2000 - 2200 SF', u'Whole House Fan', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Structure type: Ranch', u'Floor size: 2,200 sqft', u'Laundry: In Unit', u'Parcel #: 0300228', u'Zillow Home ID: 86697586']	http://photos2.zillowstatic.com/p_e/IS5e21fjuf7btr1000000000.jpg	105000.0	[]	2200.0	NC	120772.0	28606	86697586
1.0	3	Boomer	[u'Lot: 1.92 acres', u'Single Family', u'Built in 1986', u'All time views: 1,642', u'Last sold: Oct 2014 for $26,250', u'Last sale price/sqft: $27', u'Structure type: Bungalow', u'Floor size: 960 sqft', u'Parcel #: 0200314', u'Zillow Home ID: 86697165']	http://photos2.zillowstatic.com/p_e/IS5684juhnnsla0000000000.jpg	26250.0	[]	960.0	NC	76089.0	28606	86697165
1.5	3	Boomer	[u'Lot: 7.62 acres', u'Single Family', u'Built in 1987', u'All time views: 1,801', u'Last sold: Mar 2014 for $130,000', u'Last sale price/sqft: $70', u'Structure type: Ranch', u'Floor size: 1,848 sqft', u'Parcel #: 0200466', u'Zillow Home ID: 86697217']	http://photos2.zillowstatic.com/p_e/IS5mo3y7gmlhma0000000000.jpg	130000.0	[]	1848.0	NC	160752.0	28606	86697217
2.0	4	Boomer	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2003', u'All time views: 1,320', u'Last sold: Mar 2014 for $39,900', u'Last sale price/sqft: $19', u'Floor size: 2,052 sqft', u'Parcel #: 0200591', u'Zillow Home ID: 86697266']	http://photos2.zillowstatic.com/p_e/ISt087xy50sler0000000000.jpg	39900.0	[]	2052.0	NC	99799.0	28606	86697266
2.0	4	Boomer	[u'Single Family', u'Built in 2005', u'All time views: 318', u'Last sold: Mar 2014 for $38,000', u'Last sale price/sqft: $19', u'Floor size: 2,022 sqft', u'Zillow Home ID: 2109131738']	http://photos1.zillowstatic.com/p_e/ISleh5291i9yvx0000000000.jpg	38000.0	[]	2022.0	NC	140726.0	28606	2109131738
2.0	3	Boomer	[u'Single Family', u'Built in 1974', u'All time views: 615', u'Last sold: Jan 2014 for $66,000', u'Last sale price/sqft: $60', u'Structure type: Ranch', u'Floor size: 1,100 sqft', u'Zillow Home ID: 2110330038']	http://photos3.zillowstatic.com/p_e/ISl24f71js63oc0000000000.jpg	66000.0	[]	1100.0	NC	74214.0	28606	2110330038
2.5	3	Boomer	[u'Lot: 10.2 acres', u'Single Family', u'Built in 1993', u'All time views: 1,624', u'Last sold: Jan 2014 for $205,000', u'Last sale price/sqft: $97', u'Floor size: 2,110 sqft', u'Parcel #: 0200534', u'Zillow Home ID: 86697244']	http://photos2.zillowstatic.com/p_e/IS1rt7jq119ct50000000000.jpg	205000.0	[]	2110.0	NC	213470.0	28606	86697244
1.0	2	Boomer	[u'Lot: 1.02 acres', u'Single Family', u'Built in 2006', u'All time views: 964', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $149,900', u'Last sale price/sqft: $118', u'Flooring: Carpet, Hardwood', u'Porch', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Location Description: Hill & Mountain View', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Water: Private Well', u'Type: Log Home', u'Construction: Log', u'1-5 Acres', u'Road Maintenance: Private Maintained', u'Area: Area 2', u'Apx Age: 6 - 10', u'Type: Cabin', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Roof type: Metal', u'Floor size: 1,271 sqft', u'Parcel #: 0200660', u'Zillow Home ID: 97070403']	http://photos1.zillowstatic.com/p_e/ISphivq1hi4q081000000000.jpg	149900.0	[]	1271.0	NC	155866.0	28606	97070403
3.0	3	Boomer	[u'Lot: 4.3 acres', u'Single Family', u'Built in 2008', u'All time views: 868', u'HOA Fee: $175/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $290,725', u'Last sale price/sqft: $130', u'1789 sqft basement', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Parking: Garage - Attached', u'Partial basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Structure type: Ranch', u'Floor size: 2,231 sqft', u'Heating: Electric', u'Zillow Home ID: 2101190722']	http://photos1.zillowstatic.com/p_e/ISpx692grtkzp60000000000.jpg	290725.0	[]	2231.0	NC	209093.0	28606	2101190722
3.5	3	Boomer	[u'Lot: 5 acres', u'Single Family', u'Built in 1999', u'All time views: 487', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2015 for $448,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Type: Raised Ranch', u'Private Yard', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Water: Private Well', u'Smoke Detector', u'Rec Room', u'Construction: Brick', u'1-5 Acres', u'Attic: Floored', u'Attic: Permanent Stairs', u'Area: Area 2', u'Apx SqFt: 3400 +', u'Garage: Other-See Remarks', u'Apx Age: 16 - 20', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Floor size: 3,635 sqft', u'Laundry: In Unit', u'Parcel #: 0200533', u'Zillow Home ID: 86697243']	http://photos3.zillowstatic.com/p_e/IS95u3ycfxanw01000000000.jpg	448000.0	[]	3635.0	NC	0.0	28606	86697243
2.0	3	Boomer	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1974', u'All time views: 1,587', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Feb 2015 for $105,000', u'Last sale price/sqft: $48', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Type: Ranch', u'Apx Age: Over 25', u'Foundation: Basement', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'In-Law Quarters', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Level Lot', u'Property Type: Residential', u'Financing: FHA', u'Water: Private Well', u'Financing: VA', u'Attic: None', u'Construction: Brick', u'Location Description: Gravel Drive', u'Area: Area 2', u'Apx SqFt: 2000 - 2200 SF', u'Whole House Fan', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Structure type: Ranch', u'Floor size: 2,200 sqft', u'Laundry: In Unit', u'Parcel #: 0300228', u'Zillow Home ID: 86697586']	http://photos2.zillowstatic.com/p_e/IS5e21fjuf7btr1000000000.jpg	105000.0	[]	2200.0	NC	120772.0	28606	86697586
1.0	3	Boomer	[u'Lot: 1.92 acres', u'Single Family', u'Built in 1986', u'All time views: 1,643', u'Last sold: Oct 2014 for $26,250', u'Last sale price/sqft: $27', u'Structure type: Bungalow', u'Floor size: 960 sqft', u'Parcel #: 0200314', u'Zillow Home ID: 86697165']	http://photos2.zillowstatic.com/p_e/IS5684juhnnsla0000000000.jpg	26250.0	[]	960.0	NC	76089.0	28606	86697165
1.5	3	Boomer	[u'Lot: 7.62 acres', u'Single Family', u'Built in 1987', u'All time views: 1,802', u'Last sold: Mar 2014 for $130,000', u'Last sale price/sqft: $70', u'Structure type: Ranch', u'Floor size: 1,848 sqft', u'Parcel #: 0200466', u'Zillow Home ID: 86697217']	http://photos2.zillowstatic.com/p_e/IS5mo3y7gmlhma0000000000.jpg	130000.0	[]	1848.0	NC	160752.0	28606	86697217
2.0	4	Boomer	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2003', u'All time views: 1,321', u'Last sold: Mar 2014 for $39,900', u'Last sale price/sqft: $19', u'Floor size: 2,052 sqft', u'Parcel #: 0200591', u'Zillow Home ID: 86697266']	http://photos2.zillowstatic.com/p_e/ISt087xy50sler0000000000.jpg	39900.0	[]	2052.0	NC	99799.0	28606	86697266
2.0	4	Boomer	[u'Single Family', u'Built in 2005', u'All time views: 319', u'Last sold: Mar 2014 for $38,000', u'Last sale price/sqft: $19', u'Floor size: 2,022 sqft', u'Zillow Home ID: 2109131738']	http://photos1.zillowstatic.com/p_e/ISleh5291i9yvx0000000000.jpg	38000.0	[]	2022.0	NC	140726.0	28606	2109131738
2.0	3	Boomer	[u'Single Family', u'Built in 1974', u'All time views: 616', u'Last sold: Jan 2014 for $66,000', u'Last sale price/sqft: $60', u'Structure type: Ranch', u'Floor size: 1,100 sqft', u'Zillow Home ID: 2110330038']	http://photos3.zillowstatic.com/p_e/ISl24f71js63oc0000000000.jpg	66000.0	[]	1100.0	NC	74214.0	28606	2110330038
2.5	3	Boomer	[u'Lot: 10.2 acres', u'Single Family', u'Built in 1993', u'All time views: 1,625', u'Last sold: Jan 2014 for $205,000', u'Last sale price/sqft: $97', u'Floor size: 2,110 sqft', u'Parcel #: 0200534', u'Zillow Home ID: 86697244']	http://photos2.zillowstatic.com/p_e/IS1rt7jq119ct50000000000.jpg	205000.0	[]	2110.0	NC	213470.0	28606	86697244
1.0	2	Boomer	[u'Lot: 1.02 acres', u'Single Family', u'Built in 2006', u'All time views: 965', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $149,900', u'Last sale price/sqft: $118', u'Flooring: Carpet, Hardwood', u'Porch', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Location Description: Hill & Mountain View', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Water: Private Well', u'Type: Log Home', u'Construction: Log', u'1-5 Acres', u'Road Maintenance: Private Maintained', u'Area: Area 2', u'Apx Age: 6 - 10', u'Type: Cabin', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Roof type: Metal', u'Floor size: 1,271 sqft', u'Parcel #: 0200660', u'Zillow Home ID: 97070403']	http://photos1.zillowstatic.com/p_e/ISphivq1hi4q081000000000.jpg	149900.0	[]	1271.0	NC	155866.0	28606	97070403
3.0	3	Boomer	[u'Lot: 4.3 acres', u'Single Family', u'Built in 2008', u'All time views: 869', u'HOA Fee: $175/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $290,725', u'Last sale price/sqft: $130', u'1789 sqft basement', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Parking: Garage - Attached', u'Partial basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Structure type: Ranch', u'Floor size: 2,231 sqft', u'Heating: Electric', u'Zillow Home ID: 2101190722']	http://photos1.zillowstatic.com/p_e/ISpx692grtkzp60000000000.jpg	290725.0	[]	2231.0	NC	209093.0	28606	2101190722
3.5	3	Boomer	[u'Lot: 5 acres', u'Single Family', u'Built in 1999', u'All time views: 488', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2015 for $448,000', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Porch', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Type: Raised Ranch', u'Private Yard', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Water: Private Well', u'Smoke Detector', u'Rec Room', u'Construction: Brick', u'1-5 Acres', u'Attic: Floored', u'Attic: Permanent Stairs', u'Area: Area 2', u'Apx SqFt: 3400 +', u'Garage: Other-See Remarks', u'Apx Age: 16 - 20', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Floor size: 3,635 sqft', u'Laundry: In Unit', u'Parcel #: 0200533', u'Zillow Home ID: 86697243']	http://photos3.zillowstatic.com/p_e/IS95u3ycfxanw01000000000.jpg	448000.0	[]	3635.0	NC	0.0	28606	86697243
2.0	3	Boomer	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1974', u'All time views: 1,588', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Feb 2015 for $105,000', u'Last sale price/sqft: $48', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Type: Ranch', u'Apx Age: Over 25', u'Foundation: Basement', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'In-Law Quarters', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Level Lot', u'Property Type: Residential', u'Financing: FHA', u'Water: Private Well', u'Financing: VA', u'Attic: None', u'Construction: Brick', u'Location Description: Gravel Drive', u'Area: Area 2', u'Apx SqFt: 2000 - 2200 SF', u'Whole House Fan', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Structure type: Ranch', u'Floor size: 2,200 sqft', u'Laundry: In Unit', u'Parcel #: 0300228', u'Zillow Home ID: 86697586']	http://photos2.zillowstatic.com/p_e/IS5e21fjuf7btr1000000000.jpg	105000.0	[]	2200.0	NC	120772.0	28606	86697586
1.0	3	Boomer	[u'Lot: 1.92 acres', u'Single Family', u'Built in 1986', u'All time views: 1,644', u'Last sold: Oct 2014 for $26,250', u'Last sale price/sqft: $27', u'Structure type: Bungalow', u'Floor size: 960 sqft', u'Parcel #: 0200314', u'Zillow Home ID: 86697165']	http://photos2.zillowstatic.com/p_e/IS5684juhnnsla0000000000.jpg	26250.0	[]	960.0	NC	76089.0	28606	86697165
1.5	3	Boomer	[u'Lot: 7.62 acres', u'Single Family', u'Built in 1987', u'All time views: 1,803', u'Last sold: Mar 2014 for $130,000', u'Last sale price/sqft: $70', u'Structure type: Ranch', u'Floor size: 1,848 sqft', u'Parcel #: 0200466', u'Zillow Home ID: 86697217']	http://photos2.zillowstatic.com/p_e/IS5mo3y7gmlhma0000000000.jpg	130000.0	[]	1848.0	NC	160752.0	28606	86697217
2.0	4	Boomer	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2003', u'All time views: 1,322', u'Last sold: Mar 2014 for $39,900', u'Last sale price/sqft: $19', u'Floor size: 2,052 sqft', u'Parcel #: 0200591', u'Zillow Home ID: 86697266']	http://photos2.zillowstatic.com/p_e/ISt087xy50sler0000000000.jpg	39900.0	[]	2052.0	NC	99799.0	28606	86697266
2.0	4	Boomer	[u'Single Family', u'Built in 2005', u'All time views: 320', u'Last sold: Mar 2014 for $38,000', u'Last sale price/sqft: $19', u'Floor size: 2,022 sqft', u'Zillow Home ID: 2109131738']	http://photos1.zillowstatic.com/p_e/ISleh5291i9yvx0000000000.jpg	38000.0	[]	2022.0	NC	140726.0	28606	2109131738
2.0	3	Boomer	[u'Single Family', u'Built in 1974', u'All time views: 617', u'Last sold: Jan 2014 for $66,000', u'Last sale price/sqft: $60', u'Structure type: Ranch', u'Floor size: 1,100 sqft', u'Zillow Home ID: 2110330038']	http://photos3.zillowstatic.com/p_e/ISl24f71js63oc0000000000.jpg	66000.0	[]	1100.0	NC	74214.0	28606	2110330038
2.5	3	Boomer	[u'Lot: 10.2 acres', u'Single Family', u'Built in 1993', u'All time views: 1,626', u'Last sold: Jan 2014 for $205,000', u'Last sale price/sqft: $97', u'Floor size: 2,110 sqft', u'Parcel #: 0200534', u'Zillow Home ID: 86697244']	http://photos2.zillowstatic.com/p_e/IS1rt7jq119ct50000000000.jpg	205000.0	[]	2110.0	NC	213470.0	28606	86697244
