baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Southern Shores	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1989', u'All time views: 1,397', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $340,000', u'Last sale price/sqft: $208', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Skylight', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FOUNDATION: Piling', u'HEATING: Central', u'INTERIOR FEATURES: Bow Window', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Loft', u'OPTIONAL ROOMS: Workshop', u'PARKING: Off Street', u'ROADS: Public', u'STYLE: Coastal', u'Primary Residence (Y: Yes', u'EXTERIOR: Lap Siding', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'EXTRAS: Fenced Yard', u'PARKING: Under', u'Subdivision: Southern Shores', u'APPLIANCES: Disposal', u'ASSOCIATION AMENITIES: Board Walk', u'Area: Southern Shores Westside', u'EXTRAS: Storage Shed', u'VIEW DESCRIPTION: Golf Course', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Association Fee Y: Voluntary', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,637 sqft', u'Laundry: In Unit', u'Parcel #: 022519013', u'Zillow Home ID: 86660729']	http://photos3.zillowstatic.com/p_e/IS95yay8rkc1pf0000000000.jpg	340000.0	[]	1637.0	NC	318515.0	27949	86660729
3.5	4	Kitty Hawk	"[u'Baths: 3 full, 1 half', u'Lot: 0.39 acres', u'Single Family', u'Built in 1988', u'All time views: 3,324', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $695,000', u'Last sale price/sqft: $165', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Furnished', u'Jetted Tub', u'Parking: Garage - Detached', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'LOT DESCRIPTION: Wooded', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Park', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTERIOR: Shakes', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Electric', u'HEATING: Zoned', u""INTERIOR FEATURES: 9' Ceilings"", u'OPTIONAL ROOMS: Foyer', u'OPTIONAL ROOMS: Pantry', u'PARKING: Off Street', u'ROADS: Public', u'STYLE: Traditional', u'VIEW DESCRIPTION: Sound', u'LOT DESCRIPTION: Bulkheaded', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'ASSOCIATION FEE INCLUDES: Walkways', u'GARAGE: 1 Car', u'INTERIOR FEATURES: All Window Treatments', u'EXTRAS: Beach Access', u'OPTIONAL ROOMS: Study', u'Subdivision: Southern Shores', u'APPLIANCES: Disposal', u'OPTIONAL ROOMS: Office', u'Area: Southern Shores Westside', u'COUNTER TOPS: Corian', u'INTERIOR FEATURES: Attic', u'APPLIANCES: Indoor Grill', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Library', u'Office', u'Pantry', u'Recreation room', u'Exterior material: Cement concrete, Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 4,222 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2108661270']"	http://photos1.zillowstatic.com/p_e/ISdozfbwnz9adb1000000000.jpg	695000.0	[]	4222.0	NC	696569.0	27949	2108661270
3.0	4	Duck	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1990', u'All time views: 3,172', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $439,000', u'Last sale price/sqft: $233', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Lawn', u'Parking: Carport, Off street, 2 spaces', u'Pool', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'CONSTRUCTION: Wood', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'VIEW DESCRIPTION: Sound', u'Yearly Expense Act: Actual', u'EXTERIOR: Lap Siding', u'ASSOCIATION FEE INCLUDES: Management', u'SEWER: Private Septic', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'COUNTER TOPS: Laminate', u'INTERIOR FEATURES: All Window Treatments', u'STYLE: Reverse Floor Plan', u'VIEW DESCRIPTION: Ocean', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'EXTRAS: Boardwalk to Beach', u'EXTRAS: Cabana', u'Rental Co: Southern Shores Realty', u'ASSOCIATION AMENITIES: Board Walk', u'Area: Duck Westside', u'Subdivision: Bias Shores', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 3', u'Floor size: 1,882 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100281127']	http://photos3.zillowstatic.com/p_e/IS9910j5xjod9z0000000000.jpg	439000.0	[]	1882.0	NC	408418.0	27949	2100281127
2.0	3	Kitty Hawk	[u'Lot: 1.24 acres', u'Single Family', u'Built in 1987', u'All time views: 6,027', u'HOA Fee: $10/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $180,000', u'Last sale price/sqft: $141', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate', u'Pool', u'Vaulted Ceiling', u'Water: Municipal Water', u'Fencing: Fenced Yard', u'Sewer: Septic', u'Age: 21-30 Years Old', u'Other: Association Fee', u'Refrigerator', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,280 sqft', u'Parcel #: 022454322', u'Zillow Home ID: 86660634']	http://photos3.zillowstatic.com/p_e/IS5uetlqr4g1ps0000000000.jpg	180000.0	[]	1280.0	NC	0.0	27949	86660634
3.0	5	Duck	[u'Single Family', u'Built in 1984', u'All time views: 2,554', u'Cooling: Central', u'Last sold: May 2016 for $750,000', u'Last sale price/sqft: $358', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport', u'Patio', u'Pool', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Wired', u'Semi-Oceanfront with beautiful views!', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Recreation room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 9', u'Structure type: Contemporary', u'Floor size: 2,095 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2108648229']	http://photos2.zillowstatic.com/p_e/ISd0dmy4iiea640000000000.jpg	750000.0	[]	2095.0	NC	715465.0	27949	2108648229
6.0	6	Kitty Hawk	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1984', u'All time views: 4,079', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $540,000', u'Last sale price/sqft: $156', u'Flooring: Carpet, Hardwood, Tile', u'Furnished', u'Parking: Off street', u'Pool', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Yearly Income Act: Actual', u'CONSTRUCTION: Frame', u'EXTERIOR: Shakes', u'FOUNDATION: Piling', u'HEATING: Central', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'ROADS: Public', u'STYLE: Coastal', u'VIEW DESCRIPTION: Sound', u'COUNTER TOPS: Other', u'SEWER: Private Septic', u'Area: Duck Oceanside', u'GARAGE: 1 Car', u'VIEW DESCRIPTION: Ocean', u'Rental Co: Southern Shores Realty', u'OPTIONAL ROOMS: Office', u'Subdivision: Duck Ridge Shr', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Office', u'Recreation room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,456 sqft', u'Laundry: In Unit', u'Parcel #: 010006000', u'Zillow Home ID: 86654641']	http://photos2.zillowstatic.com/p_e/ISp128l3ujx5ip1000000000.jpg	540000.0	[]	3456.0	NC	552457.0	27949	86654641
7.0	5	Southern Shores	[u'Baths: 5 full, 2 half', u'Lot: 8,999 sqft', u'Single Family', u'Built in 2004', u'All time views: 3,303', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $1,275,000', u'Last sale price/sqft: $417', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached, 280 sqft garage', u'Patio', u'Pool', u'Porch', u'RV Parking', u'Security System', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'OPTIONAL ROOMS: Game Room', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Park', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTERIOR: Shakes', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'Yearly Expense Act: Actual', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'APPLIANCES: Ice Machine', u'EXTRAS: Outside Shower', u'GARAGE: 1 Car', u'INTERIOR FEATURES: All Window Treatments', u'STYLE: Reverse Floor Plan', u'VIEW DESCRIPTION: Ocean', u'Rental Co: Twiddy and Company', u'EXTRAS: Beach Access', u'FLOOD ZONE: VE', u'LOT DESCRIPTION: Beach Frontage', u'Area: Southern Shores Oceanside', u'ASSOCIATION AMENITIES: Boat Dock', u'SEWER: Non Conventional Septic', u'ASSOCIATION FEE INCLUDES: None', u'Subdivision: Sh Amended', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 15', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 3,061 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2108648245']	http://photos1.zillowstatic.com/p_e/ISppcw15q6x9li0000000000.jpg	1275000.0	[]	3061.0	NC	1257982.0	27949	2108648245
3.0	4	Kitty Hawk	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1984', u'All time views: 6,800', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $499,900', u'Last sale price/sqft: $123', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'Patio', u'Vaulted Ceiling', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'FLOOD ZONE: X', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'EXTRAS: Outside Lighting', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'VIEW DESCRIPTION: Sound', u'SEWER: Private Septic', u'EXTRAS: Outside Shower', u'GARAGE: 1 Car', u'EXTRAS: Lawn Sprinklers', u'OPTIONAL ROOMS: Study', u'ASSOCIATION AMENITIES: Board Walk', u'OPTIONAL ROOMS: Office', u'COUNTER TOPS: Corian', u'Area: Duck Westside', u'Subdivision: Carolina Dunes', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Dryer', u'Range / Oven', u'Washer', u'Office', u'Sun room', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 4,078 sqft', u'Laundry: In Unit', u'Parcel #: 009550000', u'Zillow Home ID: 86676616']	http://photos1.zillowstatic.com/p_e/ISxj1qf55wgz341000000000.jpg	499900.0	[]	4078.0	NC	711297.0	27949	86676616
5.5	5	Southern Shores	[u'Baths: 5 full, 1 half', u'Lot: 0.64 acres', u'Single Family', u'Built in 2001', u'All time views: 2,972', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $1,250,000', u'Last sale price/sqft: $250', u'Ceiling Fan', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Furnished', u'Hot Tub/Spa', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Pool', u'Vaulted Ceiling', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'FLOOD ZONE: X', u'LOT DESCRIPTION: Wooded', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'WATER: Municipal', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Park', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Landscaped', u'EXTRAS: Outside Lighting', u'FOUNDATION: Piling', u'GARAGE: 2 Car', u'HEATING: Electric', u'HEATING: Zoned', u'INTERIOR FEATURES: Pantry', u'OPTIONAL ROOMS: Foyer', u'PARKING: Off Street', u'ROADS: Public', u'STYLE: Traditional', u'STYLE: Coastal', u'VIEW DESCRIPTION: Sound', u'EXTERIOR: Lap Siding', u'OPTIONAL ROOMS: Utility Room', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Bulkheaded', u'LOT DESCRIPTION: Cul-de-sac', u'SEWER: Private Septic', u'APPLIANCES: Ice Machine', u'EXTRAS: Outside Shower', u'INTERIOR FEATURES: All Window Treatments', u'EXTRAS: Beach Access', u'EXTRAS: Lawn Sprinklers', u'OPTIONAL ROOMS: Study', u'Subdivision: Southern Shores', u'OPTIONAL ROOMS: Office', u'Area: Southern Shores Westside', u'EXTRAS: Lift', u'Status: Under Contract', u'Status Category: Under Contract', u'Association Fee Y: Voluntary', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Floor size: 5,005 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2102435460']	http://photos1.zillowstatic.com/p_e/IS95ya20v2hfkq1000000000.jpg	1250000.0	[]	5005.0	NC	1190399.0	27949	2102435460
3.5	4	Kitty Hawk	[u'Baths: 3 full, 1 half', u'Lot: 0.54 acres', u'Single Family', u'Built in 1988', u'All time views: 7,287', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $325,000', u'Last sale price/sqft: $127', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Off street', u'Skylight', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'County: Dare', u'CONSTRUCTION: Wood', u'LOT DESCRIPTION: Wooded', u'PARKING: Paved', u'ROADS: Paved', u'VIEW DESCRIPTION: Pond', u'WATER: Municipal', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'Bedroom 3 Level: 2', u'Bedroom 4 Level: 2', u'AIR CONDITIONING: Zoned', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'FLOOD ZONE: AE', u'GARAGE: 2 Car', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'ROADS: Public', u'Utility Room Level: 1', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'SEWER: Private Septic', u'Living Room Level: 1', u'Kitchen Level: 1', u'COUNTER TOPS: Laminate', u'PARKING: Under', u'EXTRAS: Storm Doors', u'Optional Room 1 Level: 1', u'OPTIONAL ROOMS: Florida  Room', u'EXTRAS: Storage Shed', u'INTERIOR FEATURES: Wood Stove', u'Area: Kitty Hawk Westside', u'Subdivision: Sea Scape', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 2,553 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 028180133', u'Zillow Home ID: 86667193']	http://photos3.zillowstatic.com/p_e/ISxj1eaht0sugk1000000000.jpg	325000.0	[]	2553.0	NC	330683.0	27949	86667193
3.0	4	Duck	[u'Baths: 2 full, 1 half', u'Lot: 10,100 sqft', u'Single Family', u'Built in 1984', u'All time views: 1,775', u'Last sold: Jul 2016 for $410,000', u'Last sale price/sqft: $295', u'Barbecue', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Carport, Off street, 2 spaces', u'Vaulted Ceiling', u'View: Water', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Exterior material: Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,392 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100690128']	http://photos1.zillowstatic.com/p_e/IS1bphfhtd4d3e0000000000.jpg	410000.0	[]	1392.0	NC	390085.0	27949	2100690128
5.0	5	Kitty Hawk	[u'Baths: 4 full, 2 half', u'Lot: 0.34 acres', u'Single Family', u'Built in 2001', u'All time views: 1,387', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $430,000', u'Last sale price/sqft: $146', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Carport', u'Pool', u'Vaulted Ceiling', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'County: Dare', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Private', u'WATER: Municipal', u'AIR CONDITIONING: Zoned', u'CONSTRUCTION: Frame', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Master Bath', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Foyer', u'Primary Residence (Y: Yes', u'OPTIONAL ROOMS: Utility Room', u'ASSOCIATION FEE INCLUDES: Management', u'SEWER: Private Septic', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Walkways', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'INTERIOR FEATURES: All Window Treatments', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Lawn Sprinklers', u'EXTRAS: Fenced Yard', u'PARKING: Under', u'STYLE: Nags Head', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'ASSOCIATION FEE INCLUDES: Building Maintenance', u'ASSOCIATION FEE INCLUDES: Septic', u'ASSOCIATION FEE INCLUDES: Water', u'EXTRAS: Storage Shed', u'ASSOCIATION FEE INCLUDES: Taxes', u'Area: Kitty Hawk Westside', u'Subdivision: Harbour Bay-KH', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 2,952 sqft', u'Laundry: In Unit', u'Parcel #: 018405026', u'Zillow Home ID: 86657382']	http://photos2.zillowstatic.com/p_e/IS5y5tm1o9vrom1000000000.jpg	430000.0	[]	2952.0	NC	450584.0	27949	86657382
2.5	4	Kitty Hawk	[u'Baths: 2 full, 1 half', u'Lot: 2.7 acres', u'Single Family', u'Built in 1962', u'All time views: 4,045', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $205,000', u'Last sale price/sqft: $108', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'ROADS: Paved', u'WATER: Municipal', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'FLOOD ZONE: AE', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Some Windows Treated', u'Subdivision: None', u'Utility Room Level: 1', u'SEWER: Private Septic', u'Living Room Level: 1', u'Kitchen Level: 1', u'Optional Room 1 Level: 1', u'OPTIONAL ROOMS: Office', u'Bedroom 3 Level: 1', u'Bedroom 4 Level: 1', u'STYLE: Ranch', u'Area: Kitty Hawk Westside', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'Var Rate Comp.: Yes', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,899 sqft', u'Laundry: In Unit', u'Parcel #: 011199000', u'Zillow Home ID: 86649530']	http://photos2.zillowstatic.com/p_e/IS1zrj598cuut91000000000.jpg	205000.0	[]	1899.0	NC	272780.0	27949	86649530
