baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	4	Elm City	[u'Baths: 2 full, 1 half', u'Lot: 1.15 acres', u'Single Family', u'Built in 2004', u'All time views: 2,782', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $221,000', u'Last sale price/sqft: $68', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Electricity: Natural Gas Rocky Mount', u'Fencing: Chain Link', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Open Foyer', u'Gas Logs', u'Attic: Floored', u'Trash: Private Service', u'Rooms: Bonus Room', u'Whirlpool Bath', u'Subdivision: FOREST COVE', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 9', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 3,250 sqft', u'Parcel #: 371600-83-8982', u'Zillow Home ID: 74989316']	http://photos2.zillowstatic.com/p_e/IS17umjyg2pshn0000000000.jpg	221000.0	[]	3250.0	NC	255225.0	27822	74989316
2.0	3	Elm City	[u'Lot: 7.74 acres', u'Single Family', u'Built in 1992', u'All time views: 1,868', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2016 for $126,000', u'Last sale price/sqft: $71', u'Fireplace', u'Stories: 1', u'Floor size: 1,767 sqft', u'Parcel #: 3734-57-8244.000', u'Zillow Home ID: 107091783']	http://photos1.zillowstatic.com/p_e/IS133fcxlp6l4w1000000000.jpg	126000.0	[]	1767.0	NC	89447.0	27822	107091783
1.5	3	Elm City	[u'Baths: 1 full, 1 half', u'Lot: 0.45 acres', u'Single Family', u'Built in 1972', u'All time views: 2,048', u'Cooling: Central', u'Heating: Other', u'Last sold: Feb 2016 for $40,000', u'Last sale price/sqft: $35', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Type: Ranch', u'None', u'Construction: Brick', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Storage Building Detached', u'Attic: Pull-down Stairs', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Subdivision: UNKNOWN', u'Fencing: None', u'Appliances: Cook Top', u'Trash: Private Service', u'Roof: Vinyl Replaced', u'Appliances: Wall Oven', u'Electricity: Other Gas-See Remarks', u'County: Wilson', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,133 sqft', u'Heating: Gas', u'Parcel #: 3725-66-7517.000', u'Zillow Home ID: 107090350']	http://photos3.zillowstatic.com/p_e/IStw8tfzpdc09s1000000000.jpg	40000.0	[]	1133.0	NC	87325.0	27822	107090350
2.0	3	Elm City	[u'Lot: 1.65 acres', u'Single Family', u'Built in 2006', u'All time views: 851', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $149,000', u'Last sale price/sqft: $107', u'Flooring: Hardwood, Tile', u'Garden', u'Patio', u'Porch', u'Vaulted Ceiling', u'Wired', u'Type: One Story', u'Attic: Access Only', u'Garage: None-Garage', u'Basement: Crawlspace', u'Fencing: Wire', u'Rooms: Eat-in', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Fencing: Rear Only', u'Rooms: Great Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Fencing: Wood', u'Garden Tub', u'Gas Logs', u'Underground Utilities', u'Trash: Private Service', u'Subdivision: VAUGHAN ACRES', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 1,397 sqft', u'Parcel #: 370700-51-2642', u'Zillow Home ID: 111323013']	http://photos1.zillowstatic.com/p_e/ISdgpi8lbehk0l0000000000.jpg	149000.0	[]	1397.0	NC	144231.0	27822	111323013
2.0	3	Elm City	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1977', u'All time views: 333', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Feb 2016 for $87,500', u'Last sale price/sqft: $70', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 1,250 sqft', u'Parcel #: 3724-11-9996.000', u'Zillow Home ID: 107089913']	http://photos3.zillowstatic.com/p_e/IS-s9pnn25isx99.jpg	87500.0	[]	1250.0	NC	90841.0	27822	107089913
2.0	3	Elm City	[u'Lot: 1.29 acres', u'Single Family', u'Built in 2007', u'All time views: 839', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $173,000', u'Last sale price/sqft: $114', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Vinyl Trim', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Storage Building Detached', u'Workshop', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Type: Two Story', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Gas Logs', u'Type: Transitional', u'Energy Efficient', u'Attic: Permanent Stairs', u'Attic: Floored', u'Storage Building Attached', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Attic: Other-See Remarks', u'Rooms: Split Bedroom', u'Construction: Aluminum Trim', u'Attic: Expandable', u'Additional Acreage Available', u'Above Ground Pool', u'Subdivision: BONES ACRES', u'Dishwasher', u'Microwave', u'Range / Oven', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Contemporary', u'Floor size: 1,513 sqft', u'Parcel #: 370700-97-0652', u'Zillow Home ID: 111323038']	http://photos2.zillowstatic.com/p_e/ISd4kij9hijkvs1000000000.jpg	173000.0	[]	1513.0	NC	163087.0	27822	111323038
2.0	3	Elm City	[u'Lot: 231 acres', u'Single Family', u'Built in 2009', u'All time views: 1,783', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $155,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, 1 space', u'Porch', u'Appliances: Oven - Electric', u'Attic: Floored', u'Fencing: None', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Heating System: Electric', u'Parking: Paved', u'Thermal Windows', u'Road Type: Maintained', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Water: Septic On Site', u'Fuel Tank: None', u'None', u'Construction: See Remarks', u'Gas Logs', u'Rooms: Bonus', u'Water Heater: Tankless', u'Rooms: Other Room', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,452 sqft', u'Parcel #: 371700-73-6263', u'Zillow Home ID: 111322133']	http://photos1.zillowstatic.com/p_e/ISxvapy2xjl9e01000000000.jpg	155000.0	[]	1452.0	NC	158268.0	27822	111322133
2.5	3	Elm City	"[u'Lot: 1.58 acres', u'Single Family', u'Built in 2008', u'All time views: 3,677', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2016 for $165,000', u'Last sale price/sqft: $103', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Laminate', u'Patio', u'Porch', u'Attic: Access Only', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Type: Traditional', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Gas Logs', u'Trash: Private Service', u'Water: County Water', u""Subdivision: MORGAN'S WAY"", u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,605 sqft', u'Parcel #: 371700-83-2638', u'Zillow Home ID: 111322140']"	http://photos2.zillowstatic.com/p_e/ISdg92lj0i9qqi0000000000.jpg	165000.0	[]	1605.0	NC	175870.0	27822	111322140
1.0	3	Elm City	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,126', u'Cooling: Central, None', u'Heating: Forced air', u'Last sold: May 2016 for $68,000', u'Last sale price/sqft: $66', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate', u'Parking: Carport, 1 space', u'Porch', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Foundation: Crawl Space', u'Rooms: Bedroom 1', u'Rooms: Great Room', u'Water: Well Water', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Construction: Stone', u'Parking: Dirt', u'Dry Connect', u'Fireplace: None', u'Attic: Stairs - Pull Down', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Exterior material: Brick', u'Stories: 1', u'Floor size: 1,025 sqft', u'Parcel #: 3724-93-6119.000', u'Zillow Home ID: 107090235']	http://photos3.zillowstatic.com/p_e/IStsten2bigpti1000000000.jpg	68000.0	[]	1025.0	NC	88225.0	27822	107090235
3.0	3	Elm City	[u'Lot: 1.9 acres', u'Single Family', u'Built in 2000', u'All time views: 1,877', u'Heating: Heat pump', u'Last sold: Apr 2016 for $239,500', u'Last sale price/sqft: $86', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Brick', u'Construction: Vinyl Trim', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Roof: Fold In or Out', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Miscellaneous: Warranty Program', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Built-in Bookcases', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: None', u'Energy Efficient', u'Attic: Floored', u'Underground Utilities', u'Trash: Private Service', u'Rooms: Bonus Room', u'Roof: Vinyl Replaced', u'Fuel-Dn: Wood-Down', u'Electricity: Other Gas-See Remarks', u'County: Wilson', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 0', u'Floor size: 2,774 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2106932625']	http://photos2.zillowstatic.com/p_e/IS1z7c2udai6up0000000000.jpg	239500.0	[]	2774.0	NC	237659.0	27822	2106932625
2.5	3	Elm City	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1995', u'All time views: 1,106', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $178,500', u'Last sale price/sqft: $79', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 506 sqft garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Construction: Brick', u'Roof: Other Windows-See Remarks', u'Ownership: Individual', u'Property Status: Active', u'Property Type: Residential', u'County: Edgecombe', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Water: Septic Tank', u'Garage: None-Carport', u'Appliances: Jenn-Aire Type', u'Rooms: Utility Room', u'Miscellaneous: County', u'Vacuum System', u'Garage Door Opener', u'Fencing: None', u'Appliances: Cook Top', u'Gas Logs', u'Attic: Permanent Stairs', u'Attic: Floored', u'Trash: Private Service', u'Water: County Water', u'Whirlpool Bath', u'Roof: Dimensional', u'Electricity: LP Gas', u'Attic: Expandable', u'Subdivision: LYNNWOOD', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,264 sqft', u'Heating: Gas', u'Last remodel year: 1995', u'Parcel #: 377527924000', u'Zillow Home ID: 68692087']	http://photos3.zillowstatic.com/p_e/ISlmv1vunu31bd0000000000.jpg	178500.0	[]	2264.0	NC	179445.0	27822	68692087
2.5	4	Elm City	[u'Baths: 2 full, 1 half', u'Lot: 1.15 acres', u'Single Family', u'Built in 2004', u'All time views: 2,783', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $221,000', u'Last sale price/sqft: $68', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Electricity: Natural Gas Rocky Mount', u'Fencing: Chain Link', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Open Foyer', u'Gas Logs', u'Attic: Floored', u'Trash: Private Service', u'Rooms: Bonus Room', u'Whirlpool Bath', u'Subdivision: FOREST COVE', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 9', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 3,250 sqft', u'Parcel #: 371600-83-8982', u'Zillow Home ID: 74989316']	http://photos2.zillowstatic.com/p_e/IS17umjyg2pshn0000000000.jpg	221000.0	[]	3250.0	NC	255225.0	27822	74989316
2.0	3	Elm City	[u'Lot: 7.74 acres', u'Single Family', u'Built in 1992', u'All time views: 1,869', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2016 for $126,000', u'Last sale price/sqft: $71', u'Fireplace', u'Stories: 1', u'Floor size: 1,767 sqft', u'Parcel #: 3734-57-8244.000', u'Zillow Home ID: 107091783']	http://photos1.zillowstatic.com/p_e/IS133fcxlp6l4w1000000000.jpg	126000.0	[]	1767.0	NC	89447.0	27822	107091783
1.5	3	Elm City	[u'Baths: 1 full, 1 half', u'Lot: 0.45 acres', u'Single Family', u'Built in 1972', u'All time views: 2,049', u'Cooling: Central', u'Heating: Other', u'Last sold: Feb 2016 for $40,000', u'Last sale price/sqft: $35', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space', u'Porch', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Type: Ranch', u'None', u'Construction: Brick', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Storage Building Detached', u'Attic: Pull-down Stairs', u'Water: Well Water', u'Water: Septic Tank', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Subdivision: UNKNOWN', u'Fencing: None', u'Appliances: Cook Top', u'Trash: Private Service', u'Roof: Vinyl Replaced', u'Appliances: Wall Oven', u'Electricity: Other Gas-See Remarks', u'County: Wilson', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,133 sqft', u'Heating: Gas', u'Parcel #: 3725-66-7517.000', u'Zillow Home ID: 107090350']	http://photos3.zillowstatic.com/p_e/IStw8tfzpdc09s1000000000.jpg	40000.0	[]	1133.0	NC	87325.0	27822	107090350
2.0	3	Elm City	[u'Lot: 1.65 acres', u'Single Family', u'Built in 2006', u'All time views: 852', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $149,000', u'Last sale price/sqft: $107', u'Flooring: Hardwood, Tile', u'Garden', u'Patio', u'Porch', u'Vaulted Ceiling', u'Wired', u'Type: One Story', u'Attic: Access Only', u'Garage: None-Garage', u'Basement: Crawlspace', u'Fencing: Wire', u'Rooms: Eat-in', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'A: None-Up', u'Fencing: Rear Only', u'Rooms: Great Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Fencing: Wood', u'Garden Tub', u'Gas Logs', u'Underground Utilities', u'Trash: Private Service', u'Subdivision: VAUGHAN ACRES', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 1,397 sqft', u'Parcel #: 370700-51-2642', u'Zillow Home ID: 111323013']	http://photos1.zillowstatic.com/p_e/ISdgpi8lbehk0l0000000000.jpg	149000.0	[]	1397.0	NC	144231.0	27822	111323013
2.0	3	Elm City	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1977', u'All time views: 334', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Feb 2016 for $87,500', u'Last sale price/sqft: $70', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 1,250 sqft', u'Parcel #: 3724-11-9996.000', u'Zillow Home ID: 107089913']	http://photos3.zillowstatic.com/p_e/IS-s9pnn25isx99.jpg	87500.0	[]	1250.0	NC	90841.0	27822	107089913
2.0	3	Elm City	[u'Lot: 1.29 acres', u'Single Family', u'Built in 2007', u'All time views: 840', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $173,000', u'Last sale price/sqft: $114', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Vinyl Trim', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Storage Building Detached', u'Workshop', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Type: Two Story', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Gas Logs', u'Type: Transitional', u'Energy Efficient', u'Attic: Permanent Stairs', u'Attic: Floored', u'Storage Building Attached', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Attic: Other-See Remarks', u'Rooms: Split Bedroom', u'Construction: Aluminum Trim', u'Attic: Expandable', u'Additional Acreage Available', u'Above Ground Pool', u'Subdivision: BONES ACRES', u'Dishwasher', u'Microwave', u'Range / Oven', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Contemporary', u'Floor size: 1,513 sqft', u'Parcel #: 370700-97-0652', u'Zillow Home ID: 111323038']	http://photos2.zillowstatic.com/p_e/ISd4kij9hijkvs1000000000.jpg	173000.0	[]	1513.0	NC	163087.0	27822	111323038
2.0	3	Elm City	[u'Lot: 231 acres', u'Single Family', u'Built in 2009', u'All time views: 1,785', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $155,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, 1 space', u'Porch', u'Appliances: Oven - Electric', u'Attic: Floored', u'Fencing: None', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Heating System: Electric', u'Parking: Paved', u'Thermal Windows', u'Road Type: Maintained', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Water: Septic On Site', u'Fuel Tank: None', u'None', u'Construction: See Remarks', u'Gas Logs', u'Rooms: Bonus', u'Water Heater: Tankless', u'Rooms: Other Room', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,452 sqft', u'Parcel #: 371700-73-6263', u'Zillow Home ID: 111322133']	http://photos1.zillowstatic.com/p_e/ISxvapy2xjl9e01000000000.jpg	155000.0	[]	1452.0	NC	158268.0	27822	111322133
2.5	3	Elm City	"[u'Lot: 1.58 acres', u'Single Family', u'Built in 2008', u'All time views: 3,679', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2016 for $165,000', u'Last sale price/sqft: $103', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Laminate', u'Patio', u'Porch', u'Attic: Access Only', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Type: Traditional', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Gas Logs', u'Trash: Private Service', u'Water: County Water', u""Subdivision: MORGAN'S WAY"", u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,605 sqft', u'Parcel #: 371700-83-2638', u'Zillow Home ID: 111322140']"	http://photos2.zillowstatic.com/p_e/ISdg92lj0i9qqi0000000000.jpg	165000.0	[]	1605.0	NC	175870.0	27822	111322140
1.0	3	Elm City	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1970', u'All time views: 1,127', u'Cooling: Central, None', u'Heating: Forced air', u'Last sold: May 2016 for $68,000', u'Last sale price/sqft: $66', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate', u'Parking: Carport, 1 space', u'Porch', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Foundation: Crawl Space', u'Rooms: Bedroom 1', u'Rooms: Great Room', u'Water: Well Water', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Construction: Stone', u'Parking: Dirt', u'Dry Connect', u'Fireplace: None', u'Attic: Stairs - Pull Down', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Exterior material: Brick', u'Stories: 1', u'Floor size: 1,025 sqft', u'Parcel #: 3724-93-6119.000', u'Zillow Home ID: 107090235']	http://photos3.zillowstatic.com/p_e/IStsten2bigpti1000000000.jpg	68000.0	[]	1025.0	NC	88225.0	27822	107090235
3.0	3	Elm City	[u'Lot: 1.9 acres', u'Single Family', u'Built in 2000', u'All time views: 1,878', u'Heating: Heat pump', u'Last sold: Apr 2016 for $239,500', u'Last sale price/sqft: $86', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Brick', u'Construction: Vinyl Trim', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Subdivision: NONE', u'Type: Traditional', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Roof: Fold In or Out', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Miscellaneous: Warranty Program', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Built-in Bookcases', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: None', u'Energy Efficient', u'Attic: Floored', u'Underground Utilities', u'Trash: Private Service', u'Rooms: Bonus Room', u'Roof: Vinyl Replaced', u'Fuel-Dn: Wood-Down', u'Electricity: Other Gas-See Remarks', u'County: Wilson', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 0', u'Floor size: 2,774 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2106932625']	http://photos2.zillowstatic.com/p_e/IS1z7c2udai6up0000000000.jpg	239500.0	[]	2774.0	NC	237659.0	27822	2106932625
