baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 970', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,275', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'All time views: 3,632', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
2.5	3	Maple	[u'Lot: 3.2 acres', u'Single Family', u'Built in 1995', u'All time views: 930', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2013 for $192,500', u'Last sale price/sqft: $128', u'Flooring: Laminate, Tile', u'Lawn', u'Parking: 2 spaces', u'Porch', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Electric', u'Parcel #: 052A00000010000', u'Zillow Home ID: 81646770']	http://photos3.zillowstatic.com/p_e/IS95qcq95609g01000000000.jpg	192500.0	[]	1502.0	NC	243039.0	27956	81646770
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 975', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,294', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'All time views: 3,636', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
2.5	3	Maple	[u'Lot: 3.2 acres', u'Single Family', u'Built in 1995', u'All time views: 926', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2013 for $192,500', u'Last sale price/sqft: $128', u'Flooring: Laminate, Tile', u'Lawn', u'Parking: 2 spaces', u'Porch', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Electric', u'Parcel #: 052A00000010000', u'Zillow Home ID: 81646770']	http://photos3.zillowstatic.com/p_e/IS95qcq95609g01000000000.jpg	192500.0	[]	1502.0	NC	243039.0	27956	81646770
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 977', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,278', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'All time views: 3,638', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
2.5	3	Maple	[u'Lot: 3.2 acres', u'Single Family', u'Built in 1995', u'All time views: 929', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2013 for $192,500', u'Last sale price/sqft: $128', u'Flooring: Laminate, Tile', u'Lawn', u'Parking: 2 spaces', u'Porch', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Electric', u'Parcel #: 052A00000010000', u'Zillow Home ID: 81646770']	http://photos3.zillowstatic.com/p_e/IS95qcq95609g01000000000.jpg	192500.0	[]	1502.0	NC	243039.0	27956	81646770
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 973', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,281', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
2.5	3	Maple	[u'Lot: 3.2 acres', u'Single Family', u'Built in 1995', u'All time views: 928', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2013 for $192,500', u'Last sale price/sqft: $128', u'Flooring: Laminate, Tile', u'Lawn', u'Parking: 2 spaces', u'Porch', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Electric', u'Parcel #: 052A00000010000', u'Zillow Home ID: 81646770']	http://photos3.zillowstatic.com/p_e/IS95qcq95609g01000000000.jpg	192500.0	[]	1502.0	NC	243039.0	27956	81646770
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 987', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,294', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'All time views: 3,635', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
2.5	3	Maple	[u'Lot: 3.2 acres', u'Single Family', u'Built in 1995', u'All time views: 942', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2013 for $192,500', u'Last sale price/sqft: $128', u'Flooring: Laminate, Tile', u'Lawn', u'Parking: 2 spaces', u'Porch', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Electric', u'Parcel #: 052A00000010000', u'Zillow Home ID: 81646770']	http://photos3.zillowstatic.com/p_e/IS95qcq95609g01000000000.jpg	192500.0	[]	1502.0	NC	243039.0	27956	81646770
4.5	4	Maple	"[u'Baths: 4 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2008', u'All time views: 974', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $470,000', u'Last sale price/sqft: $133', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces', u'Porch', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Location Description: Association Fees', u'Large Master Bedroom', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Water Heater: Propane', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'County: Currituck', u'Central Vacuum System', u'FROG', u'Owner Acc Financing: VA', u'Appliances: Disposal', u'Rooms: Rec Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Stone', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Laundry: Shared', u'Parcel #: 052C000002C0000', u'Zillow Home ID: 93019445']"	http://photos3.zillowstatic.com/p_e/IShjawc197zh5o0000000000.jpg	470000.0	[]	3526.0	NC	468649.0	27956	93019445
2.0	3	Maple	[u'Lot: 1 acre', u'Single Family', u'Built in 1951', u'All time views: 1,279', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2015 for $112,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Laminate', u'Parking: Carport, Garage - Attached, 400 sqft garage', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,944 sqft', u'Heating: Propane butane', u'Parcel #: 0052000007A0000', u'Zillow Home ID: 78323978']	http://photos3.zillowstatic.com/p_e/ISxj160wb2p1g60000000000.jpg	112000.0	[]	1944.0	NC	227054.0	27956	78323978
2.0	3	Maple	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1993', u'All time views: 3,624', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2014 for $186,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Rooms: Great Room', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'County: Currituck', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Fenced Back Yard', u'Drive: Gravel', u'Laminated Counter Tops', u'Location Description: Cul-De-Sac Lot', u'Gazebo', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,352 sqft', u'Laundry: Shared', u'Zillow Home ID: 2130427437']	http://photos2.zillowstatic.com/p_e/ISt43a3382zr4i1000000000.jpg	186000.0	[]	1352.0	NC	233371.0	27956	2130427437
